x,y
0,0
0.1,-9.25138e-11
0.2,-1.83187e-10
0.3,-2.71137e-10
0.4,-3.55517e-10
0.5,-4.35522e-10
0.6,-5.10401e-10
0.7,-5.79461e-10
0.8,-6.42073e-10
0.9,-6.97678e-10
1,-7.45794e-10
1.1,-7.86016e-10
1.2,-8.18024e-10
1.3,-8.41581e-10
1.4,-8.56536e-10
1.5,-8.62827e-10
1.6,-8.60477e-10
1.7,-8.49596e-10
1.8,-8.30377e-10
1.9,-8.03093e-10
2,-7.68096e-10
2.1,-7.25812e-10
2.2,-6.76732e-10
2.3,-6.21413e-10
2.4,-5.60466e-10
2.5,-4.94553e-10
2.6,-4.24379e-10
2.7,-3.50685e-10
2.8,-2.74237e-10
2.9,-1.95824e-10
3,-1.16244e-10
3.1,-3.62998e-11
3.2,4.32096e-11
3.3,1.21498e-10
3.4,1.978e-10
3.5,2.71376e-10
3.6,3.41522e-10
3.7,4.07574e-10
3.8,4.68918e-10
3.9,5.24989e-10
4,5.75283e-10
4.1,6.19356e-10
4.2,6.56834e-10
4.3,6.87409e-10
4.4,7.10845e-10
4.5,7.26981e-10
4.6,7.35729e-10
4.7,7.37076e-10
4.8,7.31081e-10
4.9,7.17877e-10
5,6.97668e-10
5.1,6.70723e-10
5.2,6.37379e-10
5.3,5.98029e-10
5.4,5.53126e-10
5.5,5.0317e-10
5.6,4.48709e-10
5.7,3.90329e-10
5.8,3.28649e-10
5.9,2.64315e-10
6,1.97994e-10
6.1,1.30364e-10
6.2,6.21111e-11
6.3,-6.08021e-12
6.4,-7.35326e-11
6.5,-1.39583e-10
6.6,-2.03588e-10
6.7,-2.64932e-10
6.8,-3.23032e-10
6.9,-3.77343e-10
7,-4.27361e-10
7.1,-4.72633e-10
7.2,-5.12756e-10
7.3,-5.47381e-10
7.4,-5.76221e-10
7.5,-5.99044e-10
7.6,-6.15685e-10
7.7,-6.26039e-10
7.8,-6.30066e-10
7.9,-6.27789e-10
8,-6.19293e-10
8.1,-6.04725e-10
8.2,-5.8429e-10
8.3,-5.58249e-10
8.4,-5.26917e-10
8.5,-4.90658e-10
8.6,-4.49883e-10
8.7,-4.0504e-10
8.8,-3.56616e-10
8.9,-3.05129e-10
9,-2.51121e-10
9.1,-1.95153e-10
9.2,-1.37802e-10
9.3,-7.96519e-11
9.4,-2.12883e-11
9.5,3.67061e-11
9.6,9.37586e-11
9.7,1.49311e-10
9.8,2.02827e-10
9.9,2.53793e-10
10,3.01729e-10
10.1,3.46189e-10
10.2,3.86764e-10
10.3,4.23091e-10
10.4,4.54849e-10
10.5,4.8177e-10
10.6,5.03633e-10
10.7,5.20271e-10
10.8,5.31572e-10
10.9,5.37475e-10
11,5.37976e-10
11.1,5.33123e-10
11.2,5.23019e-10
11.3,5.07815e-10
11.4,4.87714e-10
11.5,4.62964e-10
11.6,4.33858e-10
11.7,4.00727e-10
11.8,3.63943e-10
11.9,3.23906e-10
12,2.81048e-10
12.1,2.35821e-10
12.2,1.88701e-10
12.3,1.40173e-10
12.4,9.07339e-11
12.5,4.08851e-11
12.6,-8.87418e-12
12.7,-5.80501e-11
12.8,-1.0616e-10
12.9,-1.52735e-10
13,-1.97329e-10
