x,y
0,1
0.004,0.995968
0.008,0.991872
0.012,0.987712
0.016,0.983488
0.02,0.9792
0.024,0.974848
0.028,0.970432
0.032,0.965953
0.036,0.961409
0.04,0.956802
0.044,0.95213
0.048,0.947396
0.052,0.942597
0.056,0.937735
0.06,0.932809
0.064,0.927819
0.068,0.922766
0.072,0.91765
0.076,0.91247
0.08,0.907227
0.084,0.901921
0.088,0.896552
0.092,0.89112
0.096,0.885625
0.1,0.880067
0.104,0.874446
0.108,0.868763
0.112,0.863017
0.116,0.857208
0.12,0.851338
0.124,0.845405
0.128,0.839411
0.132,0.833354
0.136,0.827236
0.14,0.821055
0.144,0.814814
0.148,0.808511
0.152,0.802147
0.156,0.795722
0.16,0.789235
0.164,0.782689
0.168,0.776081
0.172,0.769413
0.176,0.762685
0.18,0.755897
0.184,0.749049
0.188,0.742141
0.192,0.735174
0.196,0.728147
0.2,0.721061
0.204,0.713916
0.208,0.706713
0.212,0.699451
0.216,0.69213
0.22,0.684752
0.224,0.677315
0.228,0.669821
0.232,0.66227
0.236,0.654661
0.24,0.646995
0.244,0.639272
0.248,0.631493
0.252,0.623658
0.256,0.615766
0.26,0.607819
0.264,0.599816
0.268,0.591758
0.272,0.583645
0.276,0.575477
0.28,0.567255
0.284,0.558979
0.288,0.550648
0.292,0.542264
0.296,0.533826
0.3,0.525336
0.304,0.516792
0.308,0.508196
0.312,0.499548
0.316,0.490848
0.32,0.482096
0.324,0.473293
0.328,0.464438
0.332,0.455533
0.336,0.446578
0.34,0.437573
0.344,0.428518
0.348,0.419413
0.352,0.410259
0.356,0.401057
0.36,0.391806
0.364,0.382507
0.368,0.37316
0.372,0.363766
0.376,0.354324
0.38,0.344836
0.384,0.335302
0.388,0.325721
0.392,0.316095
0.396,0.306423
0.4,0.296707
0.404,0.286946
0.408,0.27714
0.412,0.267291
0.416,0.257399
0.42,0.247463
0.424,0.237484
0.428,0.227464
0.432,0.217401
0.436,0.207297
0.44,0.197151
0.444,0.186965
0.448,0.176738
0.452,0.166472
0.456,0.156166
0.46,0.14582
0.464,0.135436
0.468,0.125014
0.472,0.114553
0.476,0.104055
0.48,0.09352
0.484,0.0829482
0.488,0.0723401
0.492,0.0616961
0.496,0.0510167
0.5,0.0403023
0.504,0.0295533
0.508,0.0187702
0.512,0.00795334
0.516,-0.00289678
0.52,-0.0137797
0.524,-0.0246951
0.528,-0.0356424
0.532,-0.0466212
0.536,-0.0576311
0.54,-0.0686716
0.544,-0.0797423
0.548,-0.0908427
0.552,-0.101972
0.556,-0.113131
0.56,-0.124318
0.564,-0.135532
0.568,-0.146774
0.572,-0.158043
0.576,-0.169339
0.58,-0.18066
0.584,-0.192008
0.588,-0.20338
0.592,-0.214777
0.596,-0.226198
0.6,-0.237642
0.604,-0.24911
0.608,-0.260601
0.612,-0.272113
0.616,-0.283648
0.62,-0.295204
0.624,-0.30678
0.628,-0.318377
0.632,-0.329994
0.636,-0.34163
0.64,-0.353285
0.644,-0.364958
0.648,-0.376649
0.652,-0.388358
0.656,-0.400083
0.66,-0.411825
0.664,-0.423582
0.668,-0.435355
0.672,-0.447143
0.676,-0.458945
0.68,-0.470761
0.684,-0.482591
0.688,-0.494433
0.692,-0.506288
0.696,-0.518155
0.7,-0.530033
0.704,-0.541922
0.708,-0.553821
0.712,-0.56573
0.716,-0.577649
0.72,-0.589576
0.724,-0.601512
0.728,-0.613456
0.732,-0.625407
0.736,-0.637364
0.74,-0.649328
0.744,-0.661298
0.748,-0.673273
0.752,-0.685253
0.756,-0.697238
0.76,-0.709226
0.764,-0.721217
0.768,-0.733211
0.772,-0.745207
0.776,-0.757205
0.78,-0.769204
0.784,-0.781204
0.788,-0.793204
0.792,-0.805203
0.796,-0.817202
0.8,-0.8292
0.804,-0.841195
0.808,-0.853188
0.812,-0.865179
0.816,-0.877165
0.82,-0.889148
0.824,-0.901127
0.828,-0.913101
0.832,-0.925069
0.836,-0.937031
0.84,-0.948987
0.844,-0.960936
0.848,-0.972877
0.852,-0.98481
0.856,-0.996735
0.86,-1.00865
0.864,-1.02056
0.868,-1.03245
0.872,-1.04434
0.876,-1.05621
0.88,-1.06808
0.884,-1.07993
0.888,-1.09177
0.892,-1.10359
0.896,-1.1154
0.9,-1.1272
0.904,-1.13899
0.908,-1.15075
0.912,-1.16251
0.916,-1.17424
0.92,-1.18596
0.924,-1.19767
0.928,-1.20935
0.932,-1.22102
0.936,-1.23267
0.94,-1.2443
0.944,-1.25591
0.948,-1.2675
0.952,-1.27907
0.956,-1.29062
0.96,-1.30215
0.964,-1.31366
0.968,-1.32514
0.972,-1.3366
0.976,-1.34804
0.98,-1.35945
0.984,-1.37084
0.988,-1.38221
0.992,-1.39355
0.996,-1.40486
1,-1.41615
1.004,-1.42741
1.008,-1.43864
1.012,-1.44985
1.016,-1.46103
1.02,-1.47218
1.024,-1.4833
1.028,-1.49439
1.032,-1.50545
1.036,-1.51648
1.04,-1.52748
1.044,-1.53845
1.048,-1.54939
1.052,-1.56029
1.056,-1.57117
1.06,-1.58201
1.064,-1.59281
1.068,-1.60359
1.072,-1.61433
1.076,-1.62503
1.08,-1.6357
1.084,-1.64633
1.088,-1.65693
1.092,-1.66749
1.096,-1.67801
1.1,-1.6885
1.104,-1.69895
1.108,-1.70936
1.112,-1.71973
1.116,-1.73007
1.12,-1.74036
1.124,-1.75062
1.128,-1.76083
1.132,-1.771
1.136,-1.78114
1.14,-1.79123
1.144,-1.80128
1.148,-1.81129
1.152,-1.82125
1.156,-1.83118
1.16,-1.84106
1.164,-1.85089
1.168,-1.86068
1.172,-1.87043
1.176,-1.88013
1.18,-1.88979
1.184,-1.89941
1.188,-1.90897
1.192,-1.91849
1.196,-1.92797
1.2,-1.93739
1.204,-1.94677
1.208,-1.95611
1.212,-1.96539
1.216,-1.97463
1.22,-1.98382
1.224,-1.99295
1.228,-2.00204
1.232,-2.01108
1.236,-2.02007
1.24,-2.02901
1.244,-2.0379
1.248,-2.04674
1.252,-2.05553
1.256,-2.06427
1.26,-2.07295
1.264,-2.08158
1.268,-2.09016
1.272,-2.09869
1.276,-2.10717
1.28,-2.11559
1.284,-2.12396
1.288,-2.13227
1.292,-2.14053
1.296,-2.14874
1.3,-2.15689
1.304,-2.16499
1.308,-2.17303
1.312,-2.18101
1.316,-2.18894
1.32,-2.19682
1.324,-2.20464
1.328,-2.2124
1.332,-2.2201
1.336,-2.22775
1.34,-2.23534
1.344,-2.24288
1.348,-2.25036
1.352,-2.25777
1.356,-2.26514
1.36,-2.27244
1.364,-2.27968
1.368,-2.28687
1.372,-2.294
1.376,-2.30106
1.38,-2.30807
1.384,-2.31502
1.388,-2.32191
1.392,-2.32874
1.396,-2.33551
1.4,-2.34222
1.404,-2.34887
1.408,-2.35546
1.412,-2.36199
1.416,-2.36846
1.42,-2.37486
1.424,-2.38121
1.428,-2.38749
1.432,-2.39372
1.436,-2.39988
1.44,-2.40598
1.444,-2.41202
1.448,-2.41799
1.452,-2.42391
1.456,-2.42976
1.46,-2.43555
1.464,-2.44128
1.468,-2.44694
1.472,-2.45254
1.476,-2.45808
1.48,-2.46356
1.484,-2.46897
1.488,-2.47432
1.492,-2.47961
1.496,-2.48483
1.5,-2.48999
1.504,-2.49509
1.508,-2.50012
1.512,-2.50509
1.516,-2.51
1.52,-2.51484
1.524,-2.51962
1.528,-2.52434
1.532,-2.52899
1.536,-2.53358
1.54,-2.5381
1.544,-2.54256
1.548,-2.54696
1.552,-2.55129
1.556,-2.55556
1.56,-2.55977
1.564,-2.56391
1.568,-2.56798
1.572,-2.572
1.576,-2.57595
1.58,-2.57983
1.584,-2.58365
1.588,-2.58741
1.592,-2.5911
1.596,-2.59473
1.6,-2.59829
1.604,-2.6018
1.608,-2.60523
1.612,-2.60861
1.616,-2.61192
1.62,-2.61516
1.624,-2.61834
1.628,-2.62146
1.632,-2.62452
1.636,-2.62751
1.64,-2.63044
1.644,-2.6333
1.648,-2.6361
1.652,-2.63884
1.656,-2.64152
1.66,-2.64413
1.664,-2.64668
1.668,-2.64916
1.672,-2.65159
1.676,-2.65395
1.68,-2.65624
1.684,-2.65848
1.688,-2.66065
1.692,-2.66276
1.696,-2.66481
1.7,-2.6668
1.704,-2.66872
1.708,-2.67059
1.712,-2.67239
1.716,-2.67413
1.72,-2.67581
1.724,-2.67742
1.728,-2.67898
1.732,-2.68048
1.736,-2.68191
1.74,-2.68328
1.744,-2.6846
1.748,-2.68585
1.752,-2.68705
1.756,-2.68818
1.76,-2.68925
1.764,-2.69027
1.768,-2.69122
1.772,-2.69212
1.776,-2.69296
1.78,-2.69374
1.784,-2.69446
1.788,-2.69512
1.792,-2.69572
1.796,-2.69627
1.8,-2.69676
1.804,-2.69719
1.808,-2.69756
1.812,-2.69788
1.816,-2.69814
1.82,-2.69835
1.824,-2.69849
1.828,-2.69858
1.832,-2.69862
1.836,-2.6986
1.84,-2.69853
1.844,-2.6984
1.848,-2.69821
1.852,-2.69797
1.856,-2.69768
1.86,-2.69733
1.864,-2.69693
1.868,-2.69648
1.872,-2.69597
1.876,-2.69541
1.88,-2.6948
1.884,-2.69414
1.888,-2.69342
1.892,-2.69266
1.896,-2.69184
1.9,-2.69097
1.904,-2.69005
1.908,-2.68908
1.912,-2.68806
1.916,-2.68699
1.92,-2.68587
1.924,-2.6847
1.928,-2.68348
1.932,-2.68222
1.936,-2.6809
1.94,-2.67954
1.944,-2.67813
1.948,-2.67668
1.952,-2.67518
1.956,-2.67363
1.96,-2.67203
1.964,-2.67039
1.968,-2.66871
1.972,-2.66698
1.976,-2.6652
1.98,-2.66338
1.984,-2.66152
1.988,-2.65962
1.992,-2.65767
1.996,-2.65568
2,-2.65364
2.004,-2.65157
2.008,-2.64945
2.012,-2.64729
2.016,-2.6451
2.02,-2.64286
2.024,-2.64058
2.028,-2.63826
2.032,-2.6359
2.036,-2.63351
2.04,-2.63107
2.044,-2.6286
2.048,-2.62609
2.052,-2.62355
2.056,-2.62096
2.06,-2.61834
2.064,-2.61569
2.068,-2.613
2.072,-2.61028
2.076,-2.60752
2.08,-2.60472
2.084,-2.6019
2.088,-2.59904
2.092,-2.59614
2.096,-2.59322
2.1,-2.59026
2.104,-2.58727
2.108,-2.58425
2.112,-2.5812
2.116,-2.57812
2.12,-2.57501
2.124,-2.57188
2.128,-2.56871
2.132,-2.56551
2.136,-2.56229
2.14,-2.55904
2.144,-2.55576
2.148,-2.55246
2.152,-2.54913
2.156,-2.54578
2.16,-2.5424
2.164,-2.53899
2.168,-2.53556
2.172,-2.53211
2.176,-2.52864
2.18,-2.52514
2.184,-2.52162
2.188,-2.51808
2.192,-2.51452
2.196,-2.51094
2.2,-2.50733
2.204,-2.50371
2.208,-2.50007
2.212,-2.49641
2.216,-2.49273
2.22,-2.48903
2.224,-2.48532
2.228,-2.48159
2.232,-2.47784
2.236,-2.47408
2.24,-2.4703
2.244,-2.46651
2.248,-2.4627
2.252,-2.45888
2.256,-2.45505
2.26,-2.4512
2.264,-2.44735
2.268,-2.44348
2.272,-2.43959
2.276,-2.4357
2.28,-2.4318
2.284,-2.42789
2.288,-2.42397
2.292,-2.42004
2.296,-2.4161
