h,error
0.4,0.0769168
0.363636,0.0545738
0.333333,0.0388513
0.307692,0.0279255
0.285714,0.0213248
0.266667,0.0166046
0.25,0.0129462
0.235294,0.0101382
0.222222,0.00803424
0.210526,0.00650553
0.2,0.00531844
0.181818,0.00364795
0.166667,0.00257948
0.153846,0.00187241
0.142857,0.00139491
0.133333,0.001065
0.121212,0.000731123
0.111111,0.000517242
0.102564,0.000375557
0.0952381,0.000278905
0.0869565,0.000193388
0.08,0.000138919
0.0727273,9.49509e-05
0.0666667,6.697e-05
0.0606061,4.56864e-05
0.0555556,3.22827e-05
0.0506329,2.22518e-05
0.0465116,1.58351e-05
0.0425532,1.10934e-05
0.038835,7.68691e-06
0.0353982,5.30601e-06
0.0322581,3.65677e-06
0.0294118,2.52565e-06
0.0268456,1.75257e-06
0.0245399,1.22309e-06
0.0223464,8.40566e-07
0.0204082,5.84477e-07
0.0186047,4.03539e-07
0.0169492,2.77883e-07
0.015444,1.91504e-07
0.0140845,1.32418e-07
0.0128205,9.08851e-08
0.0116618,6.22001e-08
0.0106101,4.26094e-08
0.00966184,2.92935e-08
0.00879121,2.0074e-08
0.008,1.37634e-08
0.00727273,9.3988e-09
0.00661157,6.41843e-09
0.00601504,4.39645e-09
0.00547196,3.0106e-09
0.00497512,2.05705e-09
0.00452489,1.40738e-09
0.00411523,9.62724e-10
0.00374181,6.58002e-10
0.00340426,4.5076e-10
0.00309598,3.08316e-10
0.00281492,2.10689e-10
0.00255918,1.43946e-10
0.00232693,9.83759e-11
0.0021164,6.73129e-11
0.001924,4.59548e-11
0.00174978,3.14457e-11
0.00159109,2.14949e-11
0.00144665,1.47e-11
0.00131536,1.00251e-11
0.00119581,6.88261e-12
0.00108725,4.67559e-12
0.000988631,3.2091e-12
0.000898876,2.17604e-12
0.00081716,1.47404e-12
0.000742942,1.02518e-12
0.000675447,6.69909e-13
0.000614062,4.61742e-13
0.000558269,3.31291e-13
0.00050755,2.37144e-13
0.000461414,1.47438e-13
0.000419507,1.02807e-13
0.000381388,5.77316e-14
0.000346741,4.07452e-14
0.000315234,5.52891e-14
0.000286595,1.46549e-14
0.000260552,2.44249e-14
0.000236869,6.61693e-14
0.000215343,9.32587e-15
0.000195771,2.44249e-14
0.000177976,4.35207e-14
0.000161799,5.86198e-14
0.000147091,2.79776e-14
0.000133721,1.23457e-13
0.000121566,4.88498e-14
0.000110516,5.77316e-14
0.00010047,2.75335e-14
9.13367e-05,8.9484e-14
8.30341e-05,1.86517e-14
7.54859e-05,3.37508e-14
6.86236e-05,2.32037e-14
6.2386e-05,1.13243e-13
5.67151e-05,8.26006e-14
5.15597e-05,1.6831e-13
4.68724e-05,2.79776e-14
4.26117e-05,1.14575e-13
