x,y
0,-1
0.001,-0.998999
0.002,-0.997998
0.003,-0.996995
0.004,-0.995992
0.005,-0.994987
0.006,-0.993982
0.007,-0.992975
0.008,-0.991968
0.009,-0.990959
0.01,-0.98995
0.011,-0.988939
0.012,-0.987928
0.013,-0.986915
0.014,-0.985902
0.015,-0.984887
0.016,-0.983871
0.017,-0.982855
0.018,-0.981837
0.019,-0.980818
0.02,-0.979799
0.021,-0.978778
0.022,-0.977756
0.023,-0.976733
0.024,-0.97571
0.025,-0.974685
0.026,-0.973659
0.027,-0.972632
0.028,-0.971604
0.029,-0.970575
0.03,-0.969545
0.031,-0.968514
0.032,-0.967482
0.033,-0.966449
0.034,-0.965415
0.035,-0.96438
0.036,-0.963344
0.037,-0.962307
0.038,-0.961269
0.039,-0.96023
0.04,-0.959189
0.041,-0.958148
0.042,-0.957106
0.043,-0.956062
0.044,-0.955018
0.045,-0.953972
0.046,-0.952926
0.047,-0.951878
0.048,-0.950829
0.049,-0.94978
0.05,-0.948729
0.051,-0.947677
0.052,-0.946624
0.053,-0.94557
0.054,-0.944515
0.055,-0.943459
0.056,-0.942402
0.057,-0.941344
0.058,-0.940285
0.059,-0.939225
0.06,-0.938163
0.061,-0.937101
0.062,-0.936038
0.063,-0.934973
0.064,-0.933908
0.065,-0.932841
0.066,-0.931773
0.067,-0.930705
0.068,-0.929635
0.069,-0.928564
0.07,-0.927492
0.071,-0.926419
0.072,-0.925345
0.073,-0.924269
0.074,-0.923193
0.075,-0.922116
0.076,-0.921037
0.077,-0.919958
0.078,-0.918877
0.079,-0.917796
0.08,-0.916713
0.081,-0.915629
0.082,-0.914544
0.083,-0.913458
0.084,-0.912371
0.085,-0.911283
0.086,-0.910194
0.087,-0.909103
0.088,-0.908012
0.089,-0.906919
0.09,-0.905826
0.091,-0.904731
0.092,-0.903635
0.093,-0.902538
0.094,-0.90144
0.095,-0.900341
0.096,-0.899241
0.097,-0.89814
0.098,-0.897037
0.099,-0.895934
0.1,-0.894829
0.101,-0.893723
0.102,-0.892617
0.103,-0.891509
0.104,-0.8904
0.105,-0.889289
0.106,-0.888178
0.107,-0.887066
0.108,-0.885952
0.109,-0.884838
0.11,-0.883722
0.111,-0.882605
0.112,-0.881487
0.113,-0.880368
0.114,-0.879248
0.115,-0.878127
0.116,-0.877004
0.117,-0.875881
0.118,-0.874756
0.119,-0.87363
0.12,-0.872503
0.121,-0.871375
0.122,-0.870246
0.123,-0.869116
0.124,-0.867984
0.125,-0.866852
0.126,-0.865718
0.127,-0.864583
0.128,-0.863447
0.129,-0.86231
0.13,-0.861172
0.131,-0.860032
0.132,-0.858892
0.133,-0.85775
0.134,-0.856607
0.135,-0.855463
0.136,-0.854318
0.137,-0.853172
0.138,-0.852024
0.139,-0.850876
0.14,-0.849726
0.141,-0.848575
0.142,-0.847423
0.143,-0.84627
0.144,-0.845116
0.145,-0.84396
0.146,-0.842804
0.147,-0.841646
0.148,-0.840487
0.149,-0.839327
0.15,-0.838166
0.151,-0.837003
0.152,-0.83584
0.153,-0.834675
0.154,-0.833509
0.155,-0.832342
0.156,-0.831174
0.157,-0.830004
0.158,-0.828834
0.159,-0.827662
0.16,-0.826489
0.161,-0.825315
0.162,-0.82414
0.163,-0.822963
0.164,-0.821786
0.165,-0.820607
0.166,-0.819427
0.167,-0.818246
0.168,-0.817063
