x,y
0,1.00006
0.004,0.996029
0.008,0.991933
0.012,0.987773
0.016,0.983549
0.02,0.979262
0.024,0.97491
0.028,0.970494
0.032,0.966015
0.036,0.961472
0.04,0.956864
0.044,0.952193
0.048,0.947459
0.052,0.94266
0.056,0.937798
0.06,0.932872
0.064,0.927883
0.068,0.92283
0.072,0.917714
0.076,0.912534
0.08,0.907292
0.084,0.901986
0.088,0.896617
0.092,0.891185
0.096,0.88569
0.1,0.880132
0.104,0.874511
0.108,0.868828
0.112,0.863082
0.116,0.857274
0.12,0.851404
0.124,0.845471
0.128,0.839477
0.132,0.83342
0.136,0.827302
0.14,0.821122
0.144,0.81488
0.148,0.808577
0.152,0.802213
0.156,0.795788
0.16,0.789302
0.164,0.782755
0.168,0.776148
0.172,0.76948
0.176,0.762752
0.18,0.755964
0.184,0.749116
0.188,0.742208
0.192,0.735241
0.196,0.728214
0.2,0.721128
0.204,0.713983
0.208,0.70678
0.212,0.699518
0.216,0.692197
0.22,0.684819
0.224,0.677382
0.228,0.669888
0.232,0.662337
0.236,0.654728
0.24,0.647062
0.244,0.639339
0.248,0.63156
0.252,0.623725
0.256,0.615833
0.26,0.607886
0.264,0.599883
0.268,0.591825
0.272,0.583712
0.276,0.575544
0.28,0.567322
0.284,0.559045
0.288,0.550714
0.292,0.54233
0.296,0.533892
0.3,0.525402
0.304,0.516858
0.308,0.508262
0.312,0.499614
0.316,0.490913
0.32,0.482161
0.324,0.473358
0.328,0.464504
0.332,0.455599
0.336,0.446643
0.34,0.437638
0.344,0.428582
0.348,0.419478
0.352,0.410324
0.356,0.401121
0.36,0.39187
0.364,0.382571
0.368,0.373224
0.372,0.363829
0.376,0.354388
0.38,0.344899
0.384,0.335365
0.388,0.325784
0.392,0.316157
0.396,0.306486
0.4,0.296769
0.404,0.287008
0.408,0.277202
0.412,0.267353
0.416,0.25746
0.42,0.247524
0.424,0.237545
0.428,0.227524
0.432,0.217461
0.436,0.207357
0.44,0.197211
0.444,0.187025
0.448,0.176798
0.452,0.166531
0.456,0.156224
0.46,0.145879
0.464,0.135494
0.468,0.125072
0.472,0.114611
0.476,0.104113
0.48,0.0935773
0.484,0.0830052
0.488,0.0723968
0.492,0.0617526
0.496,0.0510729
0.5,0.0403582
0.504,0.0296089
0.508,0.0188254
0.512,0.00800826
0.516,-0.00284218
0.52,-0.0137255
0.524,-0.0246412
0.528,-0.0355888
0.532,-0.046568
0.536,-0.0575782
0.54,-0.068619
0.544,-0.07969
0.548,-0.0907908
0.552,-0.101921
0.556,-0.11308
0.56,-0.124267
0.564,-0.135482
0.568,-0.146724
0.572,-0.157994
0.576,-0.16929
0.58,-0.180611
0.584,-0.191959
0.588,-0.203332
0.592,-0.214729
0.596,-0.22615
0.6,-0.237595
0.604,-0.249063
0.608,-0.260554
0.612,-0.272067
0.616,-0.283602
0.62,-0.295159
0.624,-0.306736
0.628,-0.318333
0.632,-0.32995
0.636,-0.341586
0.64,-0.353242
0.644,-0.364915
0.648,-0.376607
0.652,-0.388316
0.656,-0.400042
0.66,-0.411784
0.664,-0.423542
0.668,-0.435315
0.672,-0.447103
0.676,-0.458906
0.68,-0.470723
0.684,-0.482553
0.688,-0.494396
0.692,-0.506251
0.696,-0.518118
0.7,-0.529996
0.704,-0.541886
0.708,-0.553786
0.712,-0.565695
0.716,-0.577614
0.72,-0.589542
0.724,-0.601478
0.728,-0.613423
0.732,-0.625374
0.736,-0.637332
0.74,-0.649297
0.744,-0.661267
0.748,-0.673243
0.752,-0.685223
0.756,-0.697208
0.76,-0.709196
0.764,-0.721188
0.768,-0.733182
0.772,-0.745179
0.776,-0.757178
0.78,-0.769177
0.784,-0.781177
0.788,-0.793178
0.792,-0.805178
0.796,-0.817177
0.8,-0.829175
0.804,-0.841171
0.808,-0.853165
0.812,-0.865156
0.816,-0.877143
0.82,-0.889127
0.824,-0.901106
0.828,-0.91308
0.832,-0.925049
0.836,-0.937011
0.84,-0.948968
0.844,-0.960917
0.848,-0.972859
0.852,-0.984793
0.856,-0.996718
