h,error
0.4,1.73519
0.363636,1.10302
0.333333,0.800969
0.307692,0.618256
0.285714,0.49621
0.266667,0.409316
0.25,0.344627
0.235294,0.294849
0.222222,0.255551
0.210526,0.223883
0.2,0.19793
0.181818,0.15821
0.166667,0.129545
0.153846,0.108123
0.142857,0.0918877
0.133333,0.0795498
0.121212,0.0651652
0.111111,0.0543093
0.102564,0.0459264
0.0952381,0.0393253
0.0869565,0.0325091
0.08,0.0274659
0.0727273,0.0226271
0.0666667,0.0189399
0.0606061,0.015592
0.0555556,0.0130901
0.0506329,0.0108477
0.0465116,0.00913783
0.0425532,0.00764254
0.038835,0.0063541
0.0353982,0.0052772
0.0322581,0.00437809
0.0294118,0.00363709
0.0268456,0.00302909
0.0245399,0.00252983
0.0223464,0.00209681
0.0204082,0.00174823
0.0186047,0.00145257
0.0169492,0.00120538
0.015444,0.00100066
0.0140845,0.000832074
0.0128205,0.000689364
0.0116618,0.00057029
0.0106101,0.000472042
0.00966184,0.000391411
0.00879121,0.000324026
0.008,0.000268321
0.00727273,0.000221741
0.00661157,0.000183251
0.00601504,0.000151672
0.00547196,0.000125516
0.00497512,0.000103756
0.00452489,8.58256e-05
0.00411523,7.09875e-05
0.00374181,5.86889e-05
0.00340426,4.8577e-05
0.00309598,4.01772e-05
0.00281492,3.32134e-05
0.00255918,2.74525e-05
0.00232693,2.26958e-05
0.0021164,1.87747e-05
0.001924,1.55162e-05
0.00174978,1.28334e-05
0.00159109,1.06112e-05
0.00144665,8.77208e-06
0.00131536,7.25202e-06
0.00119581,5.99376e-06
0.00108725,4.95486e-06
0.000988631,4.09673e-06
0.000898876,3.38666e-06
0.00081716,2.79887e-06
0.000742942,2.31358e-06
0.000675447,1.91236e-06
0.000614062,1.58049e-06
0.000558269,1.30635e-06
0.00050755,1.07979e-06
0.000461414,8.92385e-07
0.000419507,7.37626e-07
0.000381388,6.09677e-07
0.000346741,5.03931e-07
0.000315234,4.16504e-07
0.000286595,3.44228e-07
0.000260552,2.84581e-07
0.000236869,2.35227e-07
0.000215343,1.94201e-07
0.000195771,1.6049e-07
0.000177976,1.32677e-07
0.000161799,1.09645e-07
0.000147091,9.07865e-08
0.000133721,7.52584e-08
0.000121566,6.16273e-08
0.000110516,5.12305e-08
0.00010047,4.23809e-08
9.13367e-05,3.54062e-08
8.30341e-05,2.91557e-08
7.54859e-05,2.38845e-08
6.86236e-05,2.05687e-08
6.2386e-05,1.54895e-08
5.67151e-05,1.23872e-08
5.15597e-05,1.06694e-08
4.68724e-05,7.64013e-09
4.26117e-05,5.68335e-09
3.87379e-05,8.67405e-09
3.52165e-05,4.6301e-09
3.20151e-05,3.3164e-09
2.91047e-05,4.84755e-09
2.64589e-05,6.09465e-09
2.40536e-05,4.04933e-09
2.1867e-05,1.93859e-09
1.98791e-05,1.19256e-09
1.8072e-05,1.72548e-09
1.64291e-05,3.27199e-09
1.49356e-05,2.86792e-09
1.35778e-05,4.48616e-09
1.23435e-05,8.29824e-09
1.12214e-05,1.18275e-08
1.02013e-05,1.04809e-08
9.2739e-06,2.59357e-09
8.43083e-06,8.99406e-09
7.66441e-06,1.82997e-08
6.96765e-06,5.12047e-08
6.33423e-06,9.85812e-09
5.75839e-06,3.05563e-08
5.2349e-06,1.37074e-08
4.759e-06,2.13076e-08
4.32637e-06,6.44528e-08
3.93306e-06,3.63706e-08
3.57551e-06,8.83155e-08
3.25047e-06,1.49593e-07
2.95497e-06,4.63743e-08
2.68634e-06,1.15985e-07
2.44213e-06,2.80446e-08
2.22012e-06,1.25184e-07
2.01829e-06,1.3214e-07
1.83481e-06,5.87441e-08
1.66801e-06,2.97413e-07
1.51637e-06,1.26114e-07
1.37852e-06,2.75858e-07
1.2532e-06,2.85274e-07
1.13927e-06,1.75929e-07
1.0357e-06,2.39587e-07
9.41547e-07,4.00156e-07
8.55952e-07,2.6713e-07
7.78139e-07,8.11456e-07
7.07399e-07,5.56336e-07
6.4309e-07,1.84232e-07
5.84627e-07,3.12102e-07
5.31479e-07,9.83031e-07
4.83163e-07,8.35768e-07
4.39239e-07,1.32091e-06
