0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.51962e+45,7.72299e+45,3.92394e+46,1.9932e+47,1.01221e+48,5.13912e+48,2.60859e+49,1.32381e+50,6.71663e+50,3.40711e+51,1.72795e+52,8.76171e+52,4.44184e+53,2.25141e+54,1.14095e+55,5.781e+55,2.92862e+56,1.48337e+57,7.51212e+57,3.80371e+58,1.92568e+59,9.7475e+59,4.93331e+60,2.49643e+61,1.2631e+62,6.38997e+62,3.23221e+63,1.63472e+64,8.26664e+64,4.17985e+65,2.11319e+66,1.06823e+67,5.39929e+67,2.72873e+68,1.3789e+69,6.96722e+69,3.51996e+70,1.77816e+71,8.98165e+71,4.53627e+72,2.29085e+73,1.15679e+74,5.84073e+74,2.94876e+75,1.48858e+76,7.5139e+76,3.79245e+77,1.91397e+78,9.65862e+78,4.87368e+79,2.45903e+80,1.24061e+81,6.2585e+81,3.15698e+82,1.59236e+83,8.03113e+83,4.05023e+84,2.04245e+85,1.02989e+86,5.19279e+86,2.61806e+87,1.31986e+88
8.25193e+47,4.33604e+48,2.27657e+49,1.19434e+50,6.261e+50,3.27976e+51,1.71684e+52,8.9809e+52,4.69481e+53,2.45264e+54,1.28048e+55,6.6811e+55,3.48388e+56,1.81563e+57,9.45681e+57,4.92293e+58,2.56136e+59,1.33196e+60,6.92298e+60,3.59649e+61,1.86748e+62,9.69235e+62,5.02809e+63,2.60725e+64,1.35136e+65,7.00128e+65,3.62578e+66,1.87694e+67,9.71236e+67,5.02379e+68,2.59761e+69,1.34262e+70,6.93708e+70,3.58299e+71,1.84996e+72,9.54846e+72,4.92673e+73,2.54122e+74,1.31035e+75,6.75455e+75,3.48075e+76,1.79316e+77,9.23497e+77,4.75475e+78,2.44735e+79,1.25934e+80,6.4785e+80,3.33187e+81,1.71312e+82,8.80594e+82,4.52537e+83,2.32501e+84,1.19423e+85,6.13265e+85,3.14852e+86,1.61608e+87,8.29322e+87,4.25486e+88,2.18249e+89,1.11924e+90,5.73859e+90,2.94168e+91
1.26239e+50,6.8656e+50,3.72871e+51,2.02235e+52,1.09543e+53,5.92609e+53,3.20199e+54,1.72805e+55,9.31525e+55,5.01589e+56,2.69793e+57,1.44963e+58,7.78108e+58,4.17245e+59,2.23524e+60,1.19632e+61,6.39698e+61,3.41756e+62,1.82423e+63,9.72922e+63,5.18464e+64,2.76065e+65,1.4688e+66,7.80881e+66,4.14842e+67,2.20225e+68,1.16826e+69,6.19319e+69,3.28091e+70,1.73695e+71,9.18967e+71,4.8589e+72,2.56748e+73,1.35586e+74,7.15592e+74,3.77455e+75,1.98984e+76,1.04841e+77,5.52087e+77,2.90572e+78,1.52853e+79,8.03658e+79,4.2233e+80,2.2183e+81,1.1646e+82,6.11129e+82,3.20543e+83,1.68051e+84,8.80653e+84,4.61294e+85,2.41526e+86,1.26406e+87,6.61292e+87,3.45813e+88,1.80766e+89,9.44541e+89,4.93354e+90,2.57592e+91,1.34445e+92,7.0145e+92,3.65842e+93,1.90738e+94
8.61481e+51,4.85483e+52,2.73041e+53,1.53263e+54,8.58674e+54,4.80206e+55,2.68078e+56,1.494e+57,8.31233e+57,4.61737e+58,2.56088e+59,1.41817e+60,7.84198e+60,4.33016e+61,2.38769e+62,1.31482e+63,7.23076e+63,3.97142e+64,2.17855e+65,1.19361e+66,6.53199e+66,3.57049e+67,1.9495e+68,1.06327e+69,5.79298e+69,3.15288e+70,1.71424e+71,9.31118e+71,5.05263e+72,2.73917e+73,1.48361e+74,8.02836e+74,4.34061e+75,2.34476e+76,1.26555e+77,6.82501e+77,3.67768e+78,1.98016e+79,1.06535e+80,5.72733e+80,3.07673e+81,1.65162e+82,8.85976e+82,4.74929e+83,2.54412e+84,1.36193e+85,7.28595e+85,3.89526e+86,2.08118e+87,1.11126e+88,5.92996e+88,3.16249e+89,1.68559e+90,8.97889e+90,4.78021e+91,2.54348e+92,1.35261e+93,7.18924e+93,3.81912e+94,2.02777e+95,1.07609e+96,5.70775e+96
3.20413e+53,1.87334e+54,1.09235e+55,6.35306e+55,3.68567e+56,2.13304e+57,1.23159e+58,7.09487e+58,4.07821e+59,2.33921e+60,1.33897e+61,7.64895e+61,4.36101e+62,2.48171e+63,1.40967e+64,7.993e+64,4.52426e+65,2.55654e+66,1.44226e+67,8.12341e+67,4.56834e+68,2.56518e+69,1.43826e+70,8.05247e+70,4.50206e+71,2.51361e+72,1.40153e+73,7.80444e+73,4.34037e+74,2.41086e+75,1.33748e+76,7.41119e+76,4.10189e+77,2.2677e+78,1.2523e+79,6.90806e+79,3.80666e+80,2.09546e+81,1.15232e+82,6.33047e+82,3.47435e+83,1.90501e+84,1.04355e+85,5.71124e+85,3.12289e+86,1.70609e+87,9.3126e+87,5.07893e+88,2.76766e+89,1.50695e+90,8.19855e+90,4.45691e+91,2.42101e+92,1.31411e+93,7.12759e+93,3.86311e+94,2.09228e+95,1.13239e+96,6.12456e+96,3.31022e+97,1.78792e+98,9.65062e+98
7.2675e+54,4.41422e+55,2.67207e+56,1.6122e+57,9.69652e+57,5.8141e+58,3.47587e+59,2.07205e+60,1.23177e+61,7.30289e+61,4.31844e+62,2.54719e+63,1.49876e+64,8.79765e+64,5.15227e+65,3.01062e+66,1.75535e+67,1.0213e+68,5.92983e+68,3.43606e+69,1.98715e+70,1.14703e+71,6.60861e+71,3.80069e+72,2.18197e+73,1.25052e+74,7.15491e+74,4.08703e+75,2.33087e+76,1.32725e+77,7.54615e+77,4.28404e+78,2.42857e+79,1.37478e+80,7.7716e+80,4.38732e+81,2.47351e+82,1.39271e+83,7.83177e+83,4.39863e+84,2.46744e+85,1.38248e+86,7.73681e+86,4.32483e+87,2.41485e+88,1.34689e+89,7.50428e+89,4.17664e+90,2.32217e+91,1.2898e+92,7.15673e+92,3.9672e+93,2.19703e+94,1.21557e+95,6.71928e+95,3.71083e+96,2.04754e+97,1.12879e+98,6.21756e+98,3.42184e+99,1.88165e+100,1.03387e+101
1.07965e+56,6.82246e+56,4.2933e+57,2.6909e+58,1.68003e+59,1.04498e+60,6.47631e+60,3.99967e+61,2.46177e+62,1.51024e+63,9.23553e+63,5.63039e+64,3.42229e+65,2.07413e+66,1.25352e+67,7.55509e+67,4.54145e+68,2.72288e+69,1.62844e+70,9.71527e+70,5.78238e+71,3.43364e+72,2.03435e+73,1.20266e+74,7.09466e+74,4.17654e+75,2.45369e+76,1.43867e+77,8.4191e+77,4.91756e+78,2.86704e+79,1.66854e+80,9.69344e+80,5.62177e+81,3.25491e+82,1.88146e+83,1.08581e+84,6.25647e+84,3.59948e+85,2.06775e+86,1.18609e+87,6.79383e+87,3.88596e+88,2.21964e+89,1.26614e+90,7.21278e+90,4.10356e+91,2.33167e+92,1.32321e+93,7.50003e+93,4.24594e+94,2.4009e+95,1.35604e+96,7.6503e+96,4.31123e+97,2.42689e+98,1.36468e+99,7.6658e+99,4.30163e+100,2.41139e+101,1.35042e+102,7.55516e+102
1.10309e+57,7.26351e+57,4.75896e+58,3.10301e+59,2.01389e+60,1.30119e+61,8.37067e+61,5.36241e+62,3.42137e+63,2.17439e+64,1.37666e+65,8.68393e+65,5.45832e+66,3.41901e+67,2.13445e+68,1.32819e+69,8.23871e+69,5.0948e+70,3.14123e+71,1.93113e+72,1.18386e+73,7.23763e+73,4.41299e+74,2.68374e+75,1.62797e+76,9.85105e+76,5.94666e+77,3.58134e+78,2.15191e+79,1.29013e+80,7.71786e+80,4.6072e+81,2.74458e+82,1.63167e+83,9.68123e+83,5.73306e+84,3.3886e+85,1.99917e+86,1.17732e+87,6.92101e+87,4.06155e+88,2.37945e+89,1.39169e+90,8.12642e+90,4.73768e+91,2.75775e+92,1.6028e+93,9.30151e+93,5.39001e+94,3.1189e+95,1.80218e+96,1.03991e+97,5.99241e+97,3.44849e+98,1.98193e+99,1.1376e+100,6.52146e+100,3.73389e+101,2.13526e+102,1.21961e+103,6.95797e+103,3.965e+104
8.02723e+57,5.51734e+58,3.76988e+59,2.56127e+60,1.73062e+61,1.16319e+62,7.7783e+62,5.17578e+63,3.42767e+64,2.25954e+65,1.48288e+66,9.68986e+66,6.30542e+67,4.08651e+68,2.63806e+69,1.69654e+70,1.08702e+71,6.93991e+71,4.41525e+72,2.79954e+73,1.76925e+74,1.11455e+75,6.99934e+75,4.38226e+76,2.73563e+77,1.70282e+78,1.05697e+79,6.54293e+79,4.03948e+80,2.48743e+81,1.52784e+82,9.36118e+82,5.72184e+83,3.48914e+84,2.12276e+85,1.28857e+86,7.80479e+86,4.71717e+87,2.84505e+88,1.71241e+89,1.02861e+90,6.16656e+90,3.68976e+91,2.20362e+92,1.31363e+93,7.81673e+93,4.64311e+94,2.75322e+95,1.6298e+96,9.63173e+96,5.68284e+97,3.34759e+98,1.96886e+99,1.15619e+100,6.77938e+100,3.96922e+101,2.32053e+102,1.35472e+103,7.89772e+103,4.59787e+104,2.67315e+105,1.55207e+106
