0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.34219e-72,2.49838e-72,8.50023e-73,2.89163e-73,9.8355e-74,3.34497e-74,1.13744e-74,3.86733e-75,1.31473e-75,4.46895e-76,1.51887e-76,5.16158e-77,1.75384e-77,5.95863e-78,2.02418e-78,6.87547e-79,2.33509e-79,7.92969e-80,2.69252e-80,9.1414e-81,3.10326e-81,1.05336e-81,3.57509e-82,1.21325e-82,4.1169e-83,1.39683e-83,4.73883e-84,1.60751e-84,5.45249e-85,1.84923e-85,6.27112e-86,2.12646e-86,7.20984e-87,2.44429e-87,8.28591e-88,2.80858e-88,9.51904e-89,3.22596e-89,1.09317e-89,3.70404e-90,1.25495e-90,4.25146e-91,1.44017e-91,4.87809e-92,1.65216e-92,5.59519e-93,1.89471e-93,6.41558e-94,2.17217e-94,7.35387e-95,2.48945e-95,8.4267e-96,2.85218e-96,9.65303e-97,3.26676e-97,1.10544e-97,3.74046e-98,1.26555e-98,4.28158e-99,1.44842e-99,4.89955e-100,1.65724e-100,5.60513e-101,1.89563e-101,6.41051e-102,2.16771e-102,7.32961e-103,2.47817e-103,8.37822e-104,2.83233e-104,9.57432e-105,3.23626e-105,1.09383e-105,3.69685e-106,1.24935e-106,4.22192e-107,1.42662e-107,4.82037e-108,1.62864e-108,5.50231e-109,1.85883e-109,6.27923e-110,2.12104e-110,7.16415e-111,2.41967e-111,8.17191e-112,2.75972e-112,9.3193e-113,3.14686e-113,1.06254e-113,3.5875e-114,1.2112e-114,4.08896e-115,1.38035e-115,4.65952e-116,1.57279e-116,5.30857e-117,1.79169e-117,6.04679e-118,2.04063e-118,6.88625e-119,2.3237e-119,7.8407e-120,2.6455e-120,8.92567e-121,3.01129e-121,1.01588e-121,3.42699e-122,1.15601e-122,3.89933e-123,1.31522e-123,4.43596e-124,1.49609e-124,5.04551e-125,1.70151e-125,5.73779e-126,1.9348e-126,6.52389e-127,2.19968e-127,7.41639e-128,2.50039e-128,8.42954e-129,2.84172e-129,9.57946e-130,3.22911e-130
1.12078e-65,3.93943e-66,1.3842e-66,4.86201e-67,1.70722e-67,5.99267e-68,2.10286e-68,7.3767e-69,2.58688e-69,9.06891e-70,3.17833e-70,1.11355e-70,3.90025e-71,1.36567e-71,4.78045e-72,1.67289e-72,5.85247e-73,2.04686e-73,7.15675e-74,2.50163e-74,8.74198e-75,3.05407e-75,1.06668e-75,3.72452e-76,1.30015e-76,4.53738e-77,1.58308e-77,5.52196e-78,1.92563e-78,6.71344e-79,2.33997e-79,8.154e-80,2.8407e-80,9.89413e-81,3.4453e-81,1.19943e-81,4.17469e-82,1.45269e-82,5.05387e-83,1.75783e-83,6.11273e-84,2.12519e-84,7.38698e-85,2.5671e-85,8.91918e-86,3.09825e-86,1.07601e-86,3.7362e-87,1.29704e-87,4.50182e-88,1.5622e-88,5.41999e-89,1.88008e-89,6.52031e-90,2.26088e-90,7.83796e-91,2.71673e-91,9.41478e-92,3.26206e-92,1.13004e-92,3.91398e-93,1.35539e-93,4.69279e-94,1.62451e-94,5.62259e-95,1.9457e-95,6.73194e-96,2.32879e-96,8.05467e-97,2.78543e-97,9.63084e-98,3.32939e-98,1.15079e-98,3.97699e-99,1.37418e-99,4.7475e-100,1.6399e-100,5.66373e-101,1.95578e-101,6.7526e-102,2.33107e-102,8.04592e-103,2.77671e-103,9.58121e-104,3.30557e-104,1.14027e-104,3.93287e-105,1.35627e-105,4.67653e-106,1.61227e-106,5.55766e-107,1.91552e-107,6.60116e-108,2.27455e-108,7.8363e-109,2.69941e-109,9.29755e-110,3.20192e-110,1.10255e-110,3.796e-111,1.30677e-111,4.49797e-112,1.54803e-112,5.32704e-113,1.8329e-113,6.30578e-114,2.16913e-114,7.46066e-115,2.56577e-115,8.82278e-116,3.03348e-116,1.04286e-116,3.58476e-117,1.23209e-117,4.23424e-118,1.45498e-118,4.9991e-119,1.71742e-119,5.89944e-120,2.02627e-120,6.95882e-121,2.38961e-121,8.20484e-122,2.81687e-122,9.66977e-123
9.52163e-61,3.45029e-61,1.24962e-61,4.52352e-62,1.63666e-62,5.91868e-63,2.13933e-63,7.72894e-64,2.79096e-64,1.00735e-64,3.63418e-65,1.31048e-65,4.7234e-66,1.7017e-66,6.12796e-67,2.20575e-67,7.93612e-68,2.85412e-68,1.026e-68,3.68674e-69,1.3242e-69,4.75428e-70,1.70623e-70,6.12091e-71,2.19492e-71,7.86774e-72,2.8191e-72,1.00972e-72,3.61515e-73,1.29385e-73,4.62893e-74,1.65545e-74,5.91819e-75,2.11497e-75,7.55548e-76,2.69814e-76,9.63194e-77,3.43725e-77,1.22619e-77,4.37274e-78,1.55884e-78,5.55527e-79,1.97908e-79,7.04818e-80,2.50928e-80,8.9306e-81,3.17741e-81,1.13013e-81,4.01832e-82,1.42832e-82,5.07544e-83,1.80297e-83,6.40283e-84,2.27313e-84,8.06767e-85,2.86249e-85,1.01534e-85,3.60044e-86,1.27636e-86,4.52344e-87,1.60266e-87,5.67665e-88,2.01013e-88,7.116e-89,2.51843e-89,8.91061e-90,3.15187e-90,1.11459e-90,3.94047e-91,1.39273e-91,4.92124e-92,1.73849e-92,6.13985e-93,2.16788e-93,7.65253e-94,2.70064e-94,9.52846e-95,3.36104e-95,1.18527e-95,4.17889e-96,1.47299e-96,5.19084e-97,1.82883e-97,6.44183e-98,2.26853e-98,7.98699e-99,2.8114e-99,9.89385e-100,3.48106e-100,1.22451e-100,4.30644e-101,1.51419e-101,5.32291e-102,1.87079e-102,6.5737e-103,2.30942e-103,8.11159e-104,2.84852e-104,1.0001e-104,3.51058e-105,1.23205e-105,4.32304e-106,1.51658e-106,5.31929e-107,1.86534e-107,6.54e-108,2.29253e-108,8.03467e-109,2.81539e-109,9.86343e-110,3.4549e-110,1.20994e-110,4.23653e-111,1.48313e-111,5.19119e-112,1.81668e-112,6.35639e-113,2.22365e-113,7.7776e-114,2.71987e-114,9.5099e-115,3.32452e-115,1.162e-115,4.0608e-116,1.41887e-116
1.51254e-56,5.64219e-57,2.10328e-57,7.83535e-58,2.91698e-58,1.08524e-58,4.03496e-59,1.49926e-59,5.56727e-60,2.06603e-60,7.66241e-61,2.84007e-61,1.05204e-61,3.89474e-62,1.44102e-62,5.32853e-63,1.96923e-63,7.27339e-64,2.68494e-64,9.9058e-65,3.65263e-65,1.34613e-65,4.95828e-66,1.82535e-66,6.71629e-67,2.46995e-67,9.07864e-68,3.33527e-68,1.22468e-68,4.49465e-69,1.64874e-69,6.04502e-70,2.21529e-70,8.11436e-71,2.97078e-71,1.08713e-71,3.97641e-72,1.45378e-72,5.31261e-73,1.94053e-73,7.08493e-74,2.58558e-74,9.43169e-75,3.43899e-75,1.25338e-75,4.56617e-76,1.66278e-76,6.0525e-77,2.20219e-77,8.00929e-78,2.91176e-78,1.05814e-78,3.84374e-79,1.3957e-79,5.06594e-80,1.83805e-80,6.66634e-81,2.41685e-81,8.75886e-82,3.17308e-82,1.14909e-82,4.15971e-83,1.50527e-83,5.44511e-84,1.96899e-84,7.11744e-85,2.57188e-85,9.29017e-86,3.35464e-86,1.21093e-86,4.3696e-87,1.57622e-87,5.6839e-88,2.04894e-88,7.38364e-89,2.65991e-89,9.57906e-90,3.44856e-90,1.24112e-90,4.46531e-91,1.60603e-91,5.77454e-92,2.07562e-92,7.45836e-93,2.67921e-93,9.6214e-94,3.45414e-94,1.23969e-94,4.4479e-95,1.5954e-95,5.72083e-96,2.0508e-96,7.34957e-97,2.63316e-97,9.43127e-98,3.37708e-98,1.2089e-98,4.32635e-99,1.54787e-99,5.53639e-100,1.97972e-100,7.07723e-101,2.52934e-101,9.03728e-102,3.22815e-102,1.15281e-102,4.11575e-103,1.46903e-103,5.24203e-104,1.87008e-104,6.66977e-105,2.37823e-105,8.47795e-106,3.02149e-106,1.07658e-106,3.83499e-107,1.36577e-107,4.86284e-108,1.73101e-108,6.16036e-109,2.19185e-109,7.7968e-110,2.77282e-110,9.85888e-111,3.50457e-111
7.4426e-53,2.85479e-53,1.09413e-53,4.18994e-54,1.60324e-54,6.12979e-55,2.34181e-55,8.93965e-56,3.41002e-56,1.29976e-56,4.95043e-57,1.88408e-57,7.16538e-58,2.72309e-58,1.03413e-58,3.92443e-59,1.48824e-59,5.63988e-60,2.13583e-60,8.08289e-61,3.05685e-61,1.15529e-61,4.36339e-62,1.64692e-62,6.21211e-63,2.34168e-63,8.82149e-64,3.32111e-64,1.24955e-64,4.69851e-65,1.76563e-65,6.63101e-66,2.48885e-66,9.33604e-67,3.50003e-67,1.31138e-67,4.91064e-68,1.83781e-68,6.87411e-69,2.56975e-69,9.60123e-70,3.58529e-70,1.3381e-70,4.99133e-71,1.86086e-71,6.934e-72,2.58242e-72,9.61269e-73,3.57635e-73,1.32989e-73,4.94279e-74,1.83617e-74,6.81769e-75,2.53017e-75,9.38536e-76,3.47972e-76,1.28952e-76,4.7765e-77,1.76842e-77,6.54427e-78,2.42067e-78,8.94979e-79,3.30745e-79,1.22174e-79,4.51097e-80,1.66483e-80,6.14159e-81,2.26466e-81,8.34714e-82,3.0753e-82,1.13254e-82,4.16906e-83,1.53406e-83,5.64242e-84,2.07449e-84,7.62399e-85,2.80077e-85,1.02849e-85,3.77529e-86,1.38525e-86,5.08088e-87,1.86286e-87,6.82742e-88,2.5013e-88,9.16036e-89,3.35348e-89,1.22721e-89,4.48931e-90,1.64166e-90,6.00106e-91,2.19289e-91,8.01032e-92,2.92502e-92,1.06771e-92,3.89609e-93,1.42119e-93,5.18236e-94,1.88909e-94,6.88386e-95,2.50764e-95,9.1317e-96,3.32426e-96,1.20975e-96,4.40102e-97,1.60056e-97,5.819e-98,2.11489e-98,7.68402e-99,2.79095e-99,1.0134e-99,3.67853e-100,1.33485e-100,4.84239e-101,1.75612e-101,6.36674e-102,2.30754e-102,8.36092e-103,3.02851e-103,1.09667e-103,3.97007e-104,1.43679e-104,5.19834e-105,1.88023e-105,6.79885e-106,2.45774e-106
1.49824e-49,5.90385e-50,2.3242e-50,9.14107e-51,3.5918e-51,1.41002e-51,5.53016e-52,2.16699e-52,8.48368e-53,3.31838e-53,1.29684e-53,5.06369e-54,1.97549e-54,7.70041e-55,2.99907e-55,1.16707e-55,4.53784e-56,1.76298e-56,6.84376e-57,2.65457e-57,1.02885e-57,3.98445e-58,1.54187e-58,5.96206e-59,2.30364e-59,8.89416e-60,3.43141e-60,1.32288e-60,5.09627e-61,1.96187e-61,7.54706e-62,2.9012e-62,1.11448e-62,4.27826e-63,1.6412e-63,6.2916e-64,2.41028e-64,9.22749e-65,3.5303e-65,1.34976e-65,5.15724e-66,1.96925e-66,7.51459e-67,2.86574e-67,1.09218e-67,4.15992e-68,1.58346e-68,6.02375e-69,2.29015e-69,8.70162e-70,3.3043e-70,1.25402e-70,4.75636e-71,1.803e-71,6.83074e-72,2.58639e-72,9.78759e-73,3.70182e-73,1.39932e-73,5.28662e-74,1.9962e-74,7.5335e-75,2.84156e-75,1.07124e-75,4.03637e-76,1.52009e-76,5.72165e-77,2.15254e-77,8.09397e-78,3.04196e-78,1.14269e-78,4.2903e-79,1.61003e-79,6.03905e-80,2.26409e-80,8.48419e-81,3.17776e-81,1.18967e-81,4.45173e-82,1.66506e-82,6.22486e-83,2.32612e-83,8.68835e-84,3.24375e-84,1.2105e-84,4.5153e-85,1.68353e-85,6.27427e-86,2.33732e-86,8.70337e-87,3.23945e-87,1.20524e-87,4.48218e-88,1.6662e-88,6.19133e-89,2.29966e-89,8.53818e-90,3.16878e-90,1.17556e-90,4.35937e-91,1.61596e-91,5.98781e-92,2.21787e-92,8.21174e-93,3.03926e-93,1.12444e-93,4.15851e-94,1.53737e-94,5.68139e-95,2.0988e-95,7.75046e-96,2.86105e-96,1.05576e-96,3.89447e-97,1.43607e-97,5.2936e-98,1.95062e-98,7.18522e-99,2.6458e-99,9.73923e-100,3.58379e-100,1.3183e-100,4.8477e-101,1.78202e-101,6.54854e-102
1.47219e-46,5.95486e-47,2.40605e-47,9.7111e-48,3.91532e-48,1.57691e-48,6.34441e-49,2.54992e-49,1.0238e-49,4.10646e-50,1.64544e-50,6.58669e-51,2.63406e-51,1.05236e-51,4.20034e-52,1.67491e-52,6.67256e-53,2.65575e-53,1.05605e-53,4.19549e-54,1.66529e-54,6.60406e-55,2.61666e-55,1.03587e-55,4.09717e-56,1.61916e-56,6.39337e-57,2.52234e-57,9.94294e-58,3.91623e-58,1.54123e-58,6.0606e-59,2.38131e-59,9.34913e-60,3.66763e-60,1.43768e-60,5.63123e-61,2.20401e-61,8.61975e-62,3.36861e-62,1.31548e-62,5.13331e-63,2.00168e-63,7.79971e-64,3.03705e-64,1.18172e-64,4.59489e-65,1.78539e-65,6.93249e-66,2.68998e-66,1.04307e-66,4.04192e-67,1.56521e-67,6.05716e-68,2.34251e-68,9.05341e-69,3.49674e-69,1.3497e-69,5.2064e-70,2.00708e-70,7.73252e-71,2.97722e-71,1.1456e-71,4.40549e-72,1.69314e-72,6.5033e-73,2.49642e-73,9.57736e-74,3.67216e-74,1.40717e-74,5.3892e-75,2.06279e-75,7.89116e-76,3.01706e-76,1.15289e-76,4.40302e-77,1.68065e-77,6.41165e-78,2.44472e-78,9.31657e-79,3.54858e-79,1.35091e-79,5.14008e-80,1.95474e-80,7.42999e-81,2.8227e-81,1.07182e-81,4.06784e-82,1.54308e-82,5.85059e-83,2.21717e-83,8.39819e-84,3.17954e-84,1.20319e-84,4.55091e-85,1.72051e-85,6.50149e-86,2.45566e-86,9.27089e-87,3.49846e-87,1.31958e-87,4.97504e-88,1.87484e-88,7.06216e-89,2.65901e-89,1.00072e-89,3.76457e-90,1.41557e-90,5.32058e-91,1.99895e-91,7.50693e-92,2.81799e-92,1.05739e-92,3.966e-93,1.48693e-93,5.57249e-94,2.08753e-94,7.81703e-95,2.92601e-95,1.09481e-95,4.09476e-96,1.53091e-96,5.72136e-97,2.13738e-97,7.98173e-98
7.97933e-44,3.31063e-44,1.3719e-44,5.67824e-45,2.34739e-45,9.69269e-46,3.99757e-46,1.64682e-46,6.77643e-47,2.78525e-47,1.14352e-47,4.68964e-48,1.92115e-48,7.86162e-49,3.21364e-49,1.31227e-49,5.35292e-50,2.18126e-50,8.87929e-51,3.61082e-51,1.46689e-51,5.95324e-52,2.41369e-52,9.77651e-53,3.95609e-53,1.59931e-53,6.45929e-54,2.60633e-54,1.05068e-54,4.23165e-55,1.70276e-55,6.84547e-56,2.74957e-56,1.10342e-56,4.42418e-57,1.77234e-57,7.09396e-58,2.83699e-58,1.1336e-58,4.52581e-59,1.80539e-59,7.19598e-60,2.86585e-60,1.14042e-60,4.53449e-61,1.80155e-61,7.15193e-62,2.83701e-62,1.12451e-62,4.4538e-63,1.76266e-63,6.97076e-64,2.75465e-64,1.08776e-64,4.29218e-65,1.69242e-65,6.66844e-66,2.62561e-66,1.03306e-66,4.06181e-67,1.59591e-67,6.2661e-68,2.4586e-68,9.64014e-69,3.77734e-69,1.4791e-69,5.7879e-70,2.26338e-70,8.84529e-71,3.45449e-71,1.34827e-71,5.2589e-72,2.04992e-72,7.98558e-73,3.1089e-73,1.20959e-73,4.7033e-74,1.8277e-74,7.09813e-75,2.75501e-75,1.06868e-75,4.14297e-76,1.60518e-76,6.21562e-77,2.40544e-77,9.30373e-78,3.59644e-78,1.38946e-78,5.36505e-79,2.07044e-79,7.98567e-80,3.07839e-80,1.18604e-80,4.56713e-81,1.75774e-81,6.76139e-82,2.59949e-82,9.98881e-83,3.83631e-83,1.47262e-83,5.64995e-84,2.1666e-84,8.30413e-85,3.18121e-85,1.21807e-85,4.66167e-86,1.78318e-86,6.81773e-87,2.6054e-87,9.95175e-88,3.79943e-88,1.44988e-88,5.53019e-89,2.10837e-89,8.03437e-90,3.06025e-90,1.1651e-90,4.43377e-91,1.6865e-91,6.41218e-92,2.43687e-92,9.2569e-93,3.51487e-93,1.33402e-93,5.06091e-94
2.60946e-41,1.10977e-41,4.71339e-42,1.99921e-42,8.46866e-43,3.58268e-43,1.51371e-43,6.38748e-44,2.69197e-44,1.13311e-44,4.76364e-45,2.00022e-45,8.3887e-46,3.51394e-46,1.47022e-46,6.14416e-47,2.56473e-47,1.06936e-47,4.45366e-48,1.85277e-48,7.69919e-49,3.19589e-49,1.32515e-49,5.48874e-50,2.27099e-50,9.38644e-51,3.87554e-51,1.5985e-51,6.58642e-52,2.71109e-52,1.11481e-52,4.5796e-53,1.87942e-53,7.70541e-54,3.15607e-54,1.29146e-54,5.27961e-55,2.15632e-55,8.79874e-56,3.58695e-56,1.46094e-56,5.94489e-57,2.41693e-57,9.81743e-58,3.98426e-58,1.61553e-58,6.54497e-59,2.64926e-59,1.07145e-59,4.32963e-60,1.7481e-60,7.05212e-61,2.8426e-61,1.14487e-61,4.60728e-62,1.85261e-62,7.44352e-63,2.98834e-63,1.19878e-63,4.80522e-64,1.92465e-64,7.70297e-65,3.0806e-65,1.23108e-65,4.91603e-66,1.96165e-66,7.82184e-67,3.1166e-67,1.24091e-67,4.93728e-68,1.96303e-68,7.79939e-69,3.09664e-69,1.22863e-69,4.87135e-70,1.93012e-70,7.64228e-71,3.02392e-71,1.19572e-71,4.72498e-72,1.86589e-72,7.36358e-73,2.9041e-73,1.1446e-73,4.50839e-74,1.77465e-74,6.98126e-75,2.74463e-75,1.07836e-75,4.23427e-76,1.66161e-76,6.51654e-77,2.55414e-77,1.00049e-77,3.91675e-78,1.53244e-78,5.9922e-79,2.34174e-79,9.14624e-80,3.57025e-80,1.39286e-80,5.43093e-81,2.1164e-81,8.24289e-82,3.20866e-82,1.24833e-82,4.854e-83,1.88641e-83,7.32724e-84,2.84455e-84,1.10372e-84,4.2803e-85,1.65907e-85,6.42732e-86,2.4887e-86,9.63149e-87,3.72559e-87,1.44038e-87,5.56599e-88,2.14977e-88,8.29904e-89,3.20221e-89,1.23498e-89,4.76061e-90,1.83424e-90
