0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.84283e-98,9.52201e-99,3.1893e-99,1.0682e-99,3.57767e-100,1.19822e-100,4.01296e-101,1.34395e-101,4.50082e-102,1.50727e-102,5.04755e-103,1.69029e-103,5.66021e-104,1.89537e-104,6.3467e-105,2.12516e-105,7.11586e-106,2.38262e-106,7.97759e-107,2.67105e-107,8.94297e-108,2.99415e-108,1.00244e-108,3.35609e-109,1.12357e-109,3.76149e-110,1.25925e-110,4.21555e-111,1.4112e-111,4.72407e-112,1.58138e-112,5.29355e-113,1.77195e-113,5.93126e-114,1.98534e-114,6.64533e-115,2.22429e-115,7.44486e-116,2.49181e-116,8.34003e-117,2.79133e-117,9.3422e-118,3.12665e-118,1.04641e-118,3.50202e-119,1.172e-119,3.92221e-120,1.31258e-120,4.39253e-121,1.46993e-121,4.91895e-122,1.64604e-122,5.50812e-123,1.84314e-123,6.1675e-124,2.06373e-124,6.90539e-125,2.31057e-125,7.73113e-126,2.58679e-126,8.6551e-127,2.89586e-127,9.68896e-128
9.10877e-95,3.08037e-95,1.04164e-95,3.52208e-96,1.19084e-96,4.02604e-97,1.36105e-97,4.60089e-98,1.55518e-98,5.25645e-99,1.77654e-99,6.00387e-100,2.0289e-100,6.85585e-101,2.31652e-101,7.82679e-102,2.64427e-102,8.93308e-103,3.01767e-103,1.01933e-103,3.44298e-104,1.16286e-104,3.92732e-105,1.3263e-105,4.47878e-106,1.51236e-106,5.10653e-107,1.72414e-107,5.82098e-108,1.96515e-108,6.63396e-109,2.23937e-109,7.55887e-110,2.55132e-110,8.61093e-111,2.90612e-111,9.8074e-112,3.30958e-112,1.11679e-112,3.7683e-113,1.27145e-113,4.28975e-114,1.44725e-114,4.88241e-115,1.64704e-115,5.55589e-116,1.87406e-116,6.32108e-117,2.13196e-117,7.19032e-118,2.42492e-118,8.1776e-119,2.75763e-119,9.29878e-120,3.13543e-120,1.05718e-120,3.56436e-121,1.2017e-121,4.05128e-122,1.36574e-122,4.60392e-123,1.55192e-123,5.23108e-124
8.92719e-92,3.04778e-92,1.0404e-92,3.55117e-93,1.21197e-93,4.13587e-94,1.41121e-94,4.81472e-95,1.64249e-95,5.60258e-96,1.91085e-96,6.51661e-97,2.22214e-97,7.57661e-98,2.58306e-98,8.80544e-99,3.0014e-99,1.02295e-99,3.48611e-100,1.18791e-100,4.04751e-101,1.37895e-101,4.69752e-102,1.6001e-102,5.44988e-103,1.85603e-103,6.32039e-104,2.1521e-104,7.32728e-105,2.4945e-105,8.49154e-106,2.89035e-106,9.83733e-107,3.34785e-107,1.13925e-107,3.87644e-108,1.3189e-108,4.48697e-109,1.52637e-109,5.19194e-110,1.76589e-110,6.00571e-111,2.04234e-111,6.94479e-112,2.36132e-112,8.02817e-113,2.72926e-113,9.27767e-114,3.15355e-114,1.07184e-114,3.6427e-115,1.2379e-115,4.20647e-116,1.42928e-116,4.85605e-117,1.64975e-117,5.60432e-118,1.90369e-118,6.46604e-119,2.19609e-119,7.45816e-120,2.53269e-120,8.60011e-121
4.24713e-89,1.46369e-89,5.04353e-90,1.73761e-90,5.98551e-91,2.06151e-91,7.09908e-92,2.4443e-92,8.41474e-93,2.89643e-93,9.96833e-94,3.43019e-94,1.18019e-94,4.05998e-95,1.39648e-95,4.80267e-96,1.65148e-96,5.67808e-97,1.95196e-97,6.70939e-98,2.30588e-98,7.92376e-99,2.72251e-99,9.35301e-100,3.21275e-100,1.10343e-100,3.78931e-101,1.30113e-101,4.4671e-102,1.53347e-102,5.2635e-103,1.80642e-103,6.19886e-104,2.12692e-104,7.29694e-105,2.5031e-105,8.58548e-106,2.94443e-106,1.00969e-106,3.46197e-107,1.18689e-107,4.06864e-108,1.39457e-108,4.77948e-109,1.63785e-109,5.61206e-110,1.92275e-110,6.58682e-111,2.25623e-111,7.72759e-112,2.64643e-112,9.06215e-113,3.10282e-113,1.06228e-113,3.63644e-114,1.24472e-114,4.26011e-115,1.4579e-115,4.98875e-116,1.70692e-116,5.83974e-117,1.99771e-117,6.83326e-118
1.20132e-86,4.17887e-87,1.45335e-87,5.05356e-88,1.75686e-88,6.10651e-89,2.1221e-89,7.37315e-90,2.56129e-90,8.89574e-91,3.08905e-91,1.07247e-91,3.7228e-92,1.29203e-92,4.48331e-93,1.55542e-93,5.39533e-94,1.87117e-94,6.48833e-95,2.24946e-95,7.79738e-96,2.70238e-96,9.36418e-97,3.24431e-97,1.12383e-97,3.89235e-98,1.34788e-98,4.6668e-99,1.61554e-99,5.59178e-100,1.93514e-100,6.69589e-101,2.31652e-101,8.01307e-102,2.77137e-102,9.58353e-103,3.31353e-103,1.14549e-103,3.95941e-104,1.36838e-104,4.72843e-105,1.63368e-105,5.64358e-106,1.94931e-106,6.73204e-107,2.32462e-107,8.02598e-108,2.77067e-108,9.56338e-109,3.3005e-109,1.13891e-109,3.92956e-110,1.35563e-110,4.67605e-111,1.61273e-111,5.56147e-112,1.91762e-112,6.61117e-113,2.27898e-113,7.85504e-114,2.70709e-114,9.32832e-115,3.21404e-115
2.26647e-84,7.95716e-85,2.79293e-85,9.80071e-86,3.43836e-86,1.20599e-86,4.22893e-87,1.48258e-87,5.19645e-88,1.82094e-88,6.3795e-89,2.2345e-89,7.82488e-90,2.73955e-90,9.58928e-91,3.35582e-91,1.17414e-91,4.10721e-92,1.43642e-92,5.0226e-93,1.75584e-93,6.13692e-94,2.14451e-94,7.49238e-95,2.61712e-95,9.13991e-96,3.19135e-96,1.1141e-96,3.88854e-97,1.35696e-97,4.7344e-98,1.65151e-98,5.75992e-99,2.0085e-99,7.00239e-100,2.44085e-100,8.50666e-101,2.96413e-101,1.03267e-101,3.59704e-102,1.25272e-102,4.36202e-103,1.51861e-103,5.28604e-104,1.83967e-104,6.40145e-105,2.22712e-105,7.74704e-106,2.69437e-106,9.36931e-107,3.25753e-107,1.1324e-107,3.93586e-108,1.36776e-108,4.75243e-109,1.65102e-109,5.73483e-110,1.9917e-110,6.91607e-111,2.40121e-111,8.33556e-112,2.89318e-112,1.00404e-112
3.07201e-82,1.08843e-82,3.85527e-83,1.36517e-83,4.83277e-84,1.71035e-84,6.05141e-85,2.14047e-85,7.5691e-86,2.67586e-86,9.45731e-87,3.34163e-87,1.18042e-87,4.1687e-88,1.47182e-88,5.19517e-89,1.83331e-89,6.4679e-90,2.28131e-90,8.04448e-91,2.83601e-91,9.99567e-92,3.52219e-92,1.24083e-92,4.37027e-93,1.53888e-93,5.41752e-94,1.90677e-94,6.70959e-95,2.36046e-95,8.30235e-96,2.91951e-96,1.02641e-96,3.60779e-97,1.26785e-97,4.4545e-98,1.56473e-98,5.49526e-99,1.92951e-99,6.77352e-100,2.37735e-100,8.34227e-101,2.92676e-101,1.0266e-101,3.60025e-102,1.26234e-102,4.42521e-103,1.55099e-103,5.43498e-104,1.90417e-104,6.67006e-105,2.336e-105,8.17963e-106,2.86361e-106,1.00234e-106,3.50781e-107,1.22738e-107,4.29381e-108,1.50186e-108,5.25217e-109,1.83642e-109,6.4199e-110,2.24393e-110
3.15093e-80,1.12655e-80,4.02642e-81,1.43863e-81,5.13853e-82,1.83481e-82,6.54951e-83,2.33717e-83,8.33754e-84,2.9734e-84,1.06007e-84,3.77824e-85,1.34621e-85,4.79524e-86,1.70757e-86,6.07887e-87,2.16343e-87,7.69728e-88,2.73785e-88,9.73557e-89,3.46093e-89,1.23e-89,4.37016e-90,1.55229e-90,5.5123e-91,1.95694e-91,6.94556e-92,2.46447e-92,8.74233e-93,3.10041e-93,1.09926e-93,3.89648e-94,1.38081e-94,4.89204e-95,1.73276e-95,6.13591e-96,2.17228e-96,7.68858e-97,2.72066e-97,9.62496e-98,3.40425e-98,1.20377e-98,4.25563e-99,1.50413e-99,5.31505e-100,1.87772e-100,6.6322e-101,2.342e-101,8.2684e-102,2.9185e-102,1.02992e-102,3.63375e-103,1.28178e-103,4.52041e-104,1.59386e-104,5.61867e-105,1.98028e-105,6.97796e-106,2.45834e-106,8.65899e-107,3.04933e-107,1.07363e-107,3.77937e-108
2.54138e-78,9.16806e-79,3.30618e-79,1.19184e-79,4.2949e-80,1.54716e-80,5.57137e-81,2.00557e-81,7.21713e-82,2.59622e-82,9.33622e-83,3.35625e-83,1.20612e-83,4.33298e-84,1.5561e-84,5.58661e-85,2.00502e-85,7.19367e-86,2.58015e-86,9.25128e-87,3.31607e-87,1.18826e-87,4.25664e-88,1.52437e-88,5.45737e-89,1.9532e-89,6.98844e-90,2.49969e-90,8.93855e-91,3.19537e-91,1.14196e-91,4.07999e-92,1.45728e-92,5.20363e-93,1.85759e-93,6.62937e-94,2.36525e-94,8.43654e-95,3.0084e-95,1.07248e-95,3.82234e-96,1.36193e-96,4.85142e-97,1.72771e-97,6.1512e-98,2.18947e-98,7.79128e-99,2.77185e-99,9.85878e-100,3.50566e-100,1.24626e-100,4.42938e-101,1.57389e-101,5.59112e-102,1.98574e-102,7.05086e-103,2.503e-103,8.88339e-104,3.15208e-104,1.11819e-104,3.96584e-105,1.40623e-105,4.98519e-106
