0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.09345e-249,1.37238e-249,4.60105e-250,1.54253e-250,5.17137e-251,1.73369e-251,5.81212e-252,1.94846e-252,6.53198e-253,2.18974e-253,7.34069e-254,2.4608e-254,8.24916e-255,2.76528e-255,9.26967e-256,3.10731e-256,1.0416e-256,3.4915e-257,1.17036e-257,3.92302e-258,1.31498e-258,4.4077e-259,1.47741e-259,4.95205e-260,1.65983e-260,5.5634e-261,1.86471e-261,6.24997e-262,2.09479e-262,7.02099e-263,2.35316e-263,7.88681e-264,2.6433e-264,8.85905e-265,2.96909e-265,9.95075e-266,3.33491e-266,1.11765e-266,3.74565e-267,1.25529e-267,4.20682e-268,1.40981e-268,4.72459e-269,1.5833e-269,5.30588e-270,1.77806e-270,5.95846e-271,1.99672e-271,6.69105e-272,2.24217e-272,7.51344e-273,2.51771e-273,8.4366e-274,2.827e-274,9.47283e-275,3.17417e-275,1.06359e-275,3.56384e-276,1.19414e-276,4.00121e-277,1.34067e-277,4.49209e-278,1.50512e-278,5.04302e-279,1.68968e-279,5.66131e-280,1.89681e-280,6.35518e-281,2.12926e-281,7.13385e-282,2.3901e-282,8.00765e-283,2.68281e-283,8.98817e-284,3.01126e-284,1.00884e-284,3.37981e-285,1.13229e-285,3.79334e-286,1.27081e-286,4.25732e-287,1.42622e-287,4.77789e-288,1.60059e-288,5.36193e-289,1.79622e-289,6.01717e-290,2.01569e-290,6.75226e-291,2.2619e-291,7.57691e-292,2.5381e-292,8.502e-293,2.84794e-293,9.53972e-294,3.19549e-294,1.07038e-294,3.58535e-295,1.20095e-295,4.02265e-296,1.3474e-296,4.51314e-297,1.51167e-297,5.06328e-298,1.69591e-298,5.68031e-299,1.90255e-299,6.37233e-300,2.1343e-300,7.14844e-301,2.39421e-301,8.01883e-302,2.68569e-302,8.99493e-303,3.01256e-303,1.00895e-303,3.37912e-304,1.1317e-304,3.79016e-305,1.26935e-305,4.25108e-306,1.42369e-306,4.76791e-307,1.59675e-307,5.34741e-308,1.7908e-308
3.15786e-240,1.06885e-240,3.61763e-241,1.2244e-241,4.14387e-242,1.40242e-242,4.74611e-243,1.60615e-243,5.43525e-244,1.83926e-244,6.22375e-245,2.10596e-245,7.12584e-246,2.41107e-246,8.15777e-247,2.76008e-247,9.3381e-248,3.15925e-248,1.0688e-248,3.61576e-249,1.22318e-249,4.13778e-250,1.3997e-250,4.73466e-251,1.60152e-251,5.41705e-252,1.83224e-252,6.19714e-253,2.09598e-253,7.08881e-254,2.39744e-254,8.10793e-255,2.74196e-255,9.2726e-256,3.13567e-256,1.06035e-256,3.58554e-257,1.21241e-257,4.09953e-258,1.38614e-258,4.68672e-259,1.5846e-259,5.35748e-260,1.8113e-260,6.12363e-261,2.07022e-261,6.99864e-262,2.36592e-262,7.99789e-263,2.70359e-263,9.13891e-264,3.08914e-264,1.04417e-264,3.52934e-265,1.19291e-265,4.03188e-266,1.3627e-266,4.60553e-267,1.55651e-267,5.2603e-268,1.77771e-268,6.0076e-269,2.03016e-269,6.86041e-270,2.31824e-270,7.83355e-271,2.64696e-271,8.9439e-272,3.02201e-272,1.02107e-272,3.44989e-273,1.16559e-273,3.93798e-274,1.33043e-274,4.49473e-275,1.51846e-275,5.12973e-276,1.73291e-276,5.85391e-277,1.97746e-277,6.67974e-278,2.25633e-278,7.6214e-279,2.57429e-279,8.69505e-280,2.93682e-280,9.91909e-281,3.3501e-281,1.13145e-281,3.82121e-282,1.2905e-282,4.3582e-283,1.47179e-283,4.97023e-284,1.67841e-284,5.66773e-285,1.91387e-285,6.46257e-286,2.18218e-286,7.36827e-287,2.48789e-287,8.4002e-288,2.83621e-288,9.57586e-289,3.23302e-289,1.09152e-289,3.68506e-290,1.24408e-290,4.19995e-291,1.41785e-291,4.78641e-292,1.61577e-292,5.45431e-293,1.84116e-293,6.21493e-294,2.09783e-294,7.08105e-295,2.3901e-295,8.06725e-296,2.72287e-296,9.19008e-297,3.10173e-297,1.04684e-297,3.53303e-298,1.19236e-298,4.02399e-299
1.1205e-232,3.82841e-233,1.30799e-233,4.46859e-234,1.52657e-234,5.21486e-235,1.78135e-235,6.08464e-236,2.07826e-236,7.09818e-237,2.42423e-237,8.27906e-238,2.82728e-238,9.65466e-239,3.29675e-239,1.12568e-239,3.84349e-240,1.31225e-240,4.48011e-241,1.52947e-241,5.22127e-242,1.78234e-242,6.08397e-243,2.07666e-243,7.088e-244,2.41916e-244,8.2563e-245,2.81766e-245,9.61553e-246,3.28125e-246,1.11966e-246,3.82048e-247,1.30356e-247,4.44758e-248,1.5174e-248,5.17674e-249,1.76602e-249,6.02446e-250,2.05505e-250,7.00985e-251,2.39099e-251,8.15509e-252,2.78139e-252,9.4859e-253,3.23502e-253,1.10321e-253,3.76204e-254,1.28283e-254,4.37421e-255,1.49146e-255,5.0852e-256,1.73375e-256,5.91083e-257,2.01509e-257,6.86944e-258,2.34171e-258,7.98229e-259,2.72085e-259,9.27399e-260,3.16091e-260,1.07731e-260,3.67157e-261,1.25126e-261,4.26409e-262,1.45308e-262,4.9515e-263,1.6872e-263,5.74886e-264,1.95876e-264,6.67365e-265,2.27368e-265,7.74606e-266,2.63886e-266,8.98949e-267,3.06224e-267,1.0431e-267,3.55303e-268,1.2102e-268,4.12189e-269,1.40386e-269,4.78115e-270,1.62827e-270,5.54507e-271,1.8883e-271,6.43015e-272,2.18955e-272,7.45545e-273,2.5385e-273,8.64305e-274,2.94266e-274,1.00184e-274,3.4107e-275,1.16111e-275,3.95265e-276,1.34551e-276,4.58008e-277,1.55899e-277,5.30639e-278,1.8061e-278,6.14707e-279,2.09209e-279,7.11998e-280,2.42305e-280,8.24578e-281,2.806e-281,9.54835e-282,3.24904e-282,1.10552e-282,3.76155e-283,1.27983e-283,4.35433e-284,1.48142e-284,5.03989e-285,1.71455e-285,5.83264e-286,1.98411e-286,6.74923e-287,2.29577e-287,7.80887e-288,2.65604e-288,9.03375e-289,3.07247e-289,1.04495e-289,3.55375e-290,1.20855e-290,4.1099e-291
6.30793e-226,2.17534e-226,7.50135e-227,2.58657e-227,8.91831e-228,3.07477e-228,1.06002e-228,3.65419e-229,1.25962e-229,4.34172e-230,1.49643e-230,5.15733e-231,1.77732e-231,6.12464e-232,2.11042e-232,7.27162e-233,2.50534e-233,8.6313e-234,2.97344e-234,1.02428e-234,3.52816e-235,1.21522e-235,4.18537e-236,1.44141e-236,4.96384e-237,1.70931e-237,5.88571e-238,2.02652e-238,6.97717e-239,2.40205e-239,8.26911e-240,2.8465e-240,9.79804e-241,3.37242e-241,1.1607e-241,3.99461e-242,1.37469e-242,4.73052e-243,1.62776e-243,5.60075e-244,1.92698e-244,6.62959e-245,2.28071e-245,7.84569e-246,2.69878e-246,9.28283e-247,3.19279e-247,1.09808e-247,3.7764e-248,1.29866e-248,4.46573e-249,1.53555e-249,5.27975e-250,1.81526e-250,6.24084e-251,2.14547e-251,7.37531e-252,2.53522e-252,8.71418e-253,2.99513e-253,1.0294e-253,3.53775e-254,1.21576e-254,4.17781e-255,1.43558e-255,4.93266e-256,1.69478e-256,5.82271e-257,2.00039e-257,6.87198e-258,2.36063e-258,8.1087e-259,2.78518e-259,9.56609e-260,3.28544e-260,1.12832e-260,3.87478e-261,1.33058e-261,4.56895e-262,1.5688e-262,5.38642e-263,1.84932e-263,6.34893e-264,2.17956e-264,7.48199e-265,2.56829e-265,8.81558e-266,3.02578e-266,1.03849e-266,3.56408e-267,1.22313e-267,4.19736e-268,1.44032e-268,4.94223e-269,1.69577e-269,5.81822e-270,1.99615e-270,6.84821e-271,2.34931e-271,8.05905e-272,2.76444e-272,9.48227e-273,3.25235e-273,1.11548e-273,3.82567e-274,1.312e-274,4.49924e-275,1.54286e-275,5.29048e-276,1.81403e-276,6.21975e-277,2.13247e-277,7.31097e-278,2.50638e-278,8.59213e-279,2.94534e-279,1.00961e-279,3.46058e-280,1.18612e-280,4.06525e-281,1.39325e-281,4.77475e-282,1.63627e-282,5.60713e-283,1.92136e-283,6.58351e-284
9.54239e-220,3.32111e-220,1.15578e-220,4.02188e-221,1.39943e-221,4.86898e-222,1.69391e-222,5.89262e-223,2.04971e-223,7.12923e-224,2.47947e-224,8.62266e-225,2.9984e-225,1.04257e-225,3.62482e-226,1.26019e-226,4.38077e-227,1.52277e-227,5.29277e-228,1.8395e-228,6.39269e-229,2.22144e-229,7.71887e-230,2.68189e-230,9.3174e-231,3.23681e-231,1.12437e-231,3.9054e-232,1.35642e-232,4.71073e-233,1.63588e-233,5.68046e-234,1.97235e-234,6.84784e-235,2.37735e-235,8.25277e-236,2.86468e-236,9.94311e-237,3.45094e-237,1.19763e-237,4.156e-238,1.44211e-238,5.00372e-239,1.73603e-239,6.02268e-240,2.08926e-240,7.24715e-241,2.51368e-241,8.71816e-242,3.0235e-242,1.04849e-242,3.63572e-243,1.26063e-243,4.37074e-244,1.51528e-244,5.25295e-245,1.82089e-245,6.31155e-246,2.18756e-246,7.58149e-247,2.62737e-247,9.10456e-248,3.15478e-248,1.09308e-248,3.78708e-249,1.31199e-249,4.54493e-250,1.57433e-250,5.45305e-251,1.88866e-251,6.54095e-252,2.26517e-252,7.84391e-253,2.71605e-253,9.40407e-254,3.25587e-254,1.12717e-254,3.902e-255,1.3507e-255,4.67521e-256,1.61815e-256,5.60026e-257,1.93808e-257,6.7067e-258,2.32071e-258,8.0298e-259,2.7782e-259,9.61161e-260,3.32509e-260,1.15023e-260,3.97868e-261,1.37616e-261,4.75962e-262,1.64608e-262,5.6925e-263,1.96848e-263,6.80663e-264,2.35347e-264,8.13694e-265,2.81311e-265,9.72499e-266,3.36175e-266,1.16203e-266,4.01647e-267,1.38818e-267,4.79761e-268,1.65798e-268,5.72937e-269,1.97976e-269,6.84056e-270,2.36346e-270,8.16544e-271,2.8209e-271,9.74476e-272,3.36613e-272,1.1627e-272,4.01587e-273,1.38697e-273,4.78997e-274,1.65415e-274,5.71205e-275,1.97236e-275,6.81016e-276,2.35128e-276,8.11764e-277,2.80241e-277
5.2113e-214,1.83025e-214,6.42736e-215,2.25691e-215,7.92414e-216,2.78195e-216,9.76576e-217,3.42785e-217,1.20308e-217,4.2221e-218,1.48157e-218,5.19844e-219,1.82383e-219,6.39816e-220,2.24433e-220,7.87186e-221,2.76076e-221,9.68144e-222,3.39478e-222,1.19027e-222,4.1729e-223,1.46282e-223,5.12751e-224,1.79714e-224,6.29825e-225,2.20708e-225,7.73355e-226,2.70957e-226,9.49259e-227,3.3253e-227,1.16477e-227,4.07951e-228,1.4287e-228,5.00306e-229,1.75183e-229,6.13357e-230,2.14732e-230,7.51696e-231,2.63118e-231,9.20924e-232,3.22299e-232,1.12787e-232,3.94659e-233,1.38085e-233,4.83102e-234,1.69002e-234,5.91169e-235,2.06773e-235,7.23172e-236,2.52902e-236,8.8436e-237,3.09222e-237,1.08112e-237,3.77961e-238,1.32124e-238,4.61831e-239,1.61417e-239,5.64132e-240,1.97142e-240,6.88876e-241,2.40696e-241,8.40938e-242,2.93782e-242,1.02625e-242,3.58463e-243,1.252e-243,4.37249e-244,1.52694e-244,5.33187e-245,1.86168e-245,6.49976e-246,2.26912e-246,7.92106e-247,2.76488e-247,9.65024e-248,3.36796e-248,1.17534e-248,4.10134e-249,1.43106e-249,4.99294e-250,1.7419e-250,6.07656e-251,2.11964e-251,7.3932e-252,2.57853e-252,8.9925e-253,3.13586e-253,1.09346e-253,3.81256e-254,1.32923e-254,4.63395e-255,1.61537e-255,5.6307e-256,1.96256e-256,6.83992e-257,2.38368e-257,8.30647e-258,2.89437e-258,1.00846e-258,3.51348e-259,1.22401e-259,4.26384e-260,1.48521e-260,5.17302e-261,1.80165e-261,6.27435e-262,2.18493e-262,7.60809e-263,2.64902e-263,9.22284e-264,3.21082e-264,1.11773e-264,3.89072e-265,1.35423e-265,4.71334e-266,1.64034e-266,5.70837e-267,1.98638e-267,6.91165e-268,2.40477e-268,8.36639e-269,2.91054e-269,1.01247e-269,3.52177e-270,1.22493e-270,4.26025e-271
1.24155e-208,4.3997e-209,1.55895e-209,5.52323e-210,1.95662e-210,6.93059e-211,2.45463e-211,8.6927e-212,3.07804e-212,1.0898e-212,3.8581e-213,1.36569e-213,4.83373e-214,1.71067e-214,6.05347e-215,2.14188e-215,7.57775e-216,2.68064e-216,9.4818e-217,3.35349e-217,1.18593e-217,4.19347e-218,1.48266e-218,5.24164e-219,1.85288e-219,6.54909e-220,2.31457e-220,8.17928e-221,2.89012e-221,1.02111e-221,3.60731e-222,1.27424e-222,4.50065e-223,1.58948e-223,5.61297e-224,1.98192e-224,6.99739e-225,2.47026e-225,8.71981e-226,3.07771e-226,1.08619e-226,3.83303e-227,1.3525e-227,4.77186e-228,1.68344e-228,5.93833e-229,2.09455e-229,7.38709e-230,2.60505e-230,9.1858e-231,3.23874e-231,1.14181e-231,4.02506e-232,1.41876e-232,5.00041e-233,1.76222e-233,6.20977e-234,2.18802e-234,7.70877e-235,2.71569e-235,9.56609e-236,3.36937e-236,1.18665e-236,4.17888e-237,1.47149e-237,5.181e-238,1.82403e-238,6.42112e-239,2.26022e-239,7.95522e-240,2.79972e-240,9.85233e-241,3.46677e-241,1.21976e-241,4.29123e-242,1.50957e-242,5.30991e-243,1.8676e-243,6.56813e-244,2.30974e-244,8.12168e-245,2.85557e-245,1.00392e-245,3.52917e-246,1.24053e-246,4.3602e-247,1.53239e-247,5.38509e-248,1.89226e-248,6.64866e-249,2.33588e-249,8.20597e-250,2.88253e-250,1.01247e-250,3.55594e-251,1.24879e-251,4.38523e-252,1.53978e-252,5.40615e-253,1.89794e-253,6.66259e-254,2.33867e-254,8.2084e-255,2.8808e-255,1.01096e-255,3.54748e-256,1.24472e-256,4.36706e-257,1.53205e-257,5.3743e-258,1.88511e-258,6.61176e-259,2.31881e-259,8.13164e-260,2.8514e-260,9.99779e-261,3.50523e-261,1.22884e-261,4.30767e-262,1.50993e-262,5.2922e-263,1.85474e-263,6.49976e-264,2.27761e-264,7.98047e-265,2.79605e-265
1.4721e-203,5.26318e-204,1.88149e-204,6.72513e-205,2.4035e-205,8.58881e-206,3.06879e-206,1.09634e-206,3.91626e-207,1.39876e-207,4.99528e-208,1.7837e-208,6.36843e-209,2.27347e-209,8.11507e-210,2.89629e-210,1.03357e-210,3.68795e-211,1.31576e-211,4.69372e-212,1.67419e-212,5.97092e-213,2.12925e-213,7.59205e-214,2.7067e-214,9.64875e-215,3.43915e-215,1.22569e-215,4.36775e-216,1.55627e-216,5.5445e-217,1.9751e-217,7.03505e-218,2.5055e-218,8.92221e-219,3.17688e-219,1.13105e-219,4.02634e-220,1.43315e-220,5.10064e-221,1.81513e-221,6.45868e-222,2.2979e-222,8.17468e-223,2.90778e-223,1.0342e-223,3.67791e-224,1.30783e-224,4.64998e-225,1.65312e-225,5.87641e-226,2.08868e-226,7.4231e-227,2.63787e-227,9.37289e-228,3.33003e-228,1.18298e-228,4.20203e-229,1.49244e-229,5.30013e-230,1.88206e-230,6.68241e-231,2.3724e-231,8.42168e-232,2.98926e-232,1.06093e-232,3.76496e-233,1.33596e-233,4.74002e-234,1.6816e-234,5.96517e-235,2.11582e-235,7.50395e-236,2.66108e-236,9.4359e-237,3.34553e-237,1.18605e-237,4.20435e-238,1.49022e-238,5.28154e-239,1.87166e-239,6.63212e-240,2.34982e-240,8.32483e-241,2.94899e-241,1.04455e-241,3.69951e-242,1.31014e-242,4.63925e-243,1.64262e-243,5.81549e-244,2.0587e-244,7.28719e-245,2.5792e-245,9.12788e-246,3.23009e-246,1.14292e-246,4.04372e-247,1.43055e-247,5.06042e-248,1.7899e-248,6.33041e-249,2.2387e-249,7.91623e-250,2.799e-250,9.89571e-251,3.49826e-251,1.23657e-251,4.37064e-252,1.54466e-252,5.45862e-253,1.92883e-253,6.81499e-254,2.40768e-254,8.50539e-255,3.00436e-255,1.06113e-255,3.74758e-256,1.32341e-256,4.67304e-257,1.64994e-257,5.82502e-258,2.05632e-258,7.25847e-259,2.56191e-259,9.04158e-260
9.57168e-199,3.45229e-199,1.24499e-199,4.48912e-200,1.61843e-200,5.83401e-201,2.10271e-201,7.57756e-202,2.73035e-202,9.83666e-203,3.54337e-203,1.27622e-203,4.59594e-204,1.65487e-204,5.95789e-205,2.14468e-205,7.71923e-206,2.77796e-206,9.99586e-207,3.5963e-207,1.2937e-207,4.6532e-208,1.67345e-208,6.0175e-209,2.16353e-209,7.7777e-210,2.79565e-210,1.00475e-210,3.61057e-211,1.29729e-211,4.66062e-212,1.67415e-212,6.01294e-213,2.15936e-213,7.75367e-214,2.78378e-214,9.99325e-215,3.58694e-215,1.28732e-215,4.61949e-216,1.65748e-216,5.9463e-217,2.13301e-217,7.65039e-218,2.7436e-218,9.83797e-219,3.52725e-219,1.26449e-219,4.53251e-220,1.62447e-220,5.82145e-221,2.08592e-221,7.47331e-222,2.67717e-222,9.5893e-223,3.43436e-223,1.22986e-223,4.40363e-224,1.57658e-224,5.64377e-225,2.0201e-225,7.22978e-226,2.58718e-226,9.25718e-227,3.31192e-227,1.18476e-227,4.23772e-228,1.5156e-228,5.41984e-229,1.93793e-229,6.92855e-230,2.47683e-230,8.85323e-231,3.16416e-231,1.13075e-231,4.04041e-232,1.44357e-232,5.15703e-233,1.84211e-233,6.57933e-234,2.34964e-234,8.3902e-235,2.99569e-235,1.06948e-235,3.81772e-236,1.36266e-236,4.86321e-237,1.73545e-237,6.19235e-238,2.20929e-238,7.88139e-239,2.8113e-239,1.00269e-239,3.57584e-240,1.2751e-240,4.54638e-241,1.62085e-241,5.77793e-242,2.05948e-242,7.34004e-243,2.61574e-243,9.32063e-244,3.32087e-244,1.18308e-244,4.21436e-245,1.50109e-245,5.34608e-246,1.9038e-246,6.77896e-247,2.41358e-247,8.59244e-248,3.05864e-248,1.08867e-248,3.87455e-249,1.37881e-249,4.90618e-250,1.74558e-250,6.21004e-251,2.20905e-251,7.85734e-252,2.79449e-252,9.93774e-253,3.53371e-253,1.25641e-253,4.46675e-254,1.58785e-254
