0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.52768e-88,8.47006e-89,2.83817e-89,9.50998e-90,3.18646e-90,1.06764e-90,3.57711e-91,1.19847e-91,4.01523e-92,1.34519e-92,4.50654e-93,1.50971e-93,5.05746e-94,1.69419e-94,5.67518e-95,1.90102e-95,6.36773e-96,2.13291e-96,7.14411e-97,2.39285e-97,8.01441e-98,2.68422e-98,8.98992e-99,3.01081e-99,1.00833e-99,3.37683e-100,1.13086e-100,3.78701e-101,1.26817e-101,4.24666e-102,1.42203e-102,4.76171e-103,1.59443e-103,5.33877e-104,1.78759e-104,5.98529e-105,2.00398e-105,6.70957e-106,2.2464e-106,7.52091e-107,2.51794e-107,8.4297e-108,2.82209e-108,9.44761e-109,3.16275e-109,1.05876e-109,3.54426e-110,1.18644e-110,3.97152e-111,1.32941e-111,4.44996e-112,1.48951e-112,4.98568e-113,1.66878e-113,5.58553e-114,1.86949e-114,6.25711e-115,2.0942e-115,7.00899e-116,2.34577e-116,7.8507e-117,2.62739e-117,8.79292e-118
6.83092e-85,2.31302e-85,7.83147e-86,2.65139e-86,8.97568e-87,3.03828e-87,1.02838e-87,3.48053e-88,1.17789e-88,3.98594e-89,1.34872e-89,4.56335e-90,1.54388e-90,5.22287e-91,1.76675e-91,5.97597e-92,2.02121e-92,6.83573e-93,2.31168e-93,7.81699e-94,2.64315e-94,8.93668e-95,3.02135e-95,1.0214e-95,3.45273e-96,1.16708e-96,3.94468e-97,1.3332e-97,4.50557e-98,1.52257e-98,5.14492e-99,1.73841e-99,5.87354e-100,1.98436e-100,6.70373e-101,2.26457e-101,7.64943e-102,2.58373e-102,8.72651e-103,2.94719e-103,9.95295e-104,3.36102e-104,1.13492e-104,3.83209e-105,1.29385e-105,4.36823e-106,1.4747e-106,4.97829e-107,1.68048e-107,5.67236e-108,1.91457e-108,6.46183e-109,2.18081e-109,7.35968e-110,2.48357e-110,8.38057e-111,2.8278e-111,9.54118e-112,3.2191e-112,1.08604e-112,3.66383e-113,1.23596e-113,4.16921e-114
5.65511e-82,1.93477e-82,6.61849e-83,2.26376e-83,7.74185e-84,2.64729e-84,9.05114e-85,3.0942e-85,1.05764e-85,3.61472e-86,1.23526e-86,4.22071e-87,1.44198e-87,4.92588e-88,1.6825e-88,5.74611e-89,1.9622e-89,6.69979e-90,2.28733e-90,7.80816e-91,2.66513e-91,9.09577e-92,3.10394e-92,1.0591e-92,3.61341e-93,1.23267e-93,4.20469e-94,1.43408e-94,4.89066e-95,1.66769e-95,5.68618e-96,1.93856e-96,6.6084e-97,2.25252e-97,7.67712e-98,2.61629e-98,8.91518e-99,3.03761e-99,1.03489e-99,3.52544e-100,1.20086e-100,4.09007e-101,1.39293e-101,4.74337e-102,1.61512e-102,5.49903e-103,1.87209e-103,6.37278e-104,2.16917e-104,7.38278e-105,2.51251e-105,8.54988e-106,2.90921e-106,9.89813e-107,3.3674e-107,1.14551e-107,3.89646e-108,1.32527e-108,4.50717e-109,1.53274e-109,5.21193e-110,1.77213e-110,6.02498e-111
2.27601e-79,7.8669e-80,2.71865e-80,9.39337e-81,3.24497e-81,1.12078e-81,3.87038e-82,1.33631e-82,4.61304e-83,1.59217e-83,5.49438e-84,1.89571e-84,6.53964e-85,2.2556e-85,7.77854e-86,2.68203e-86,9.24607e-87,3.187e-87,1.09834e-87,3.78463e-88,1.30389e-88,4.49151e-89,1.54695e-89,5.32716e-90,1.83421e-90,6.31446e-91,2.1735e-91,7.48033e-92,2.57405e-92,8.8563e-93,3.04666e-93,1.04794e-93,3.60401e-94,1.2393e-94,4.26095e-95,1.4648e-95,5.03488e-96,1.73039e-96,5.9462e-97,2.04305e-97,7.01877e-98,2.41094e-98,8.28052e-99,2.84363e-99,9.76412e-100,3.35227e-100,1.15078e-100,3.94993e-101,1.35561e-101,4.65187e-102,1.59613e-102,5.47593e-103,1.87843e-103,6.44292e-104,2.20963e-104,7.57715e-105,2.59802e-105,8.90699e-106,3.0533e-106,1.04655e-106,3.58676e-107,1.22913e-107,4.21158e-108
5.45408e-77,1.90436e-77,6.6477e-78,2.32002e-78,8.09492e-79,2.82379e-79,9.8481e-80,3.4338e-80,1.19702e-80,4.17185e-81,1.45366e-81,5.06409e-82,1.76379e-82,6.14186e-83,2.13826e-83,7.44272e-84,2.59007e-84,9.01164e-85,3.13478e-85,1.09024e-85,3.79099e-86,1.31794e-86,4.58095e-87,1.59195e-87,5.53122e-88,1.92145e-88,6.67354e-89,2.3174e-89,8.04575e-90,2.79288e-90,9.69301e-91,3.36347e-91,1.16691e-91,4.04773e-92,1.40381e-92,4.86779e-93,1.68764e-93,5.84994e-94,2.02745e-94,7.02551e-95,2.43406e-95,8.43169e-96,2.92029e-96,1.01127e-96,3.50137e-97,1.2121e-97,4.1954e-98,1.4519e-98,5.02383e-99,1.73806e-99,6.01215e-100,2.07935e-100,7.19052e-101,2.48615e-101,8.59471e-102,2.97078e-102,1.02671e-102,3.54781e-103,1.22578e-103,4.23449e-104,1.46261e-104,5.05122e-105,1.74423e-105
8.73006e-75,3.0789e-75,1.08555e-75,3.82631e-76,1.3483e-76,4.74979e-77,1.67279e-77,5.88963e-78,2.07309e-78,7.29509e-79,2.56642e-79,9.02635e-80,3.17382e-80,1.11568e-80,3.92092e-81,1.37761e-81,4.83899e-82,1.69932e-82,5.96609e-83,2.0941e-83,7.34854e-84,2.57811e-84,9.04268e-85,3.17097e-85,1.1117e-85,3.89654e-86,1.36544e-86,4.78377e-87,1.67559e-87,5.86775e-88,2.05437e-88,7.19101e-89,2.51656e-89,8.80506e-90,3.0801e-90,1.07722e-90,3.76666e-91,1.31679e-91,4.60244e-92,1.60831e-92,5.61909e-93,1.96279e-93,6.85482e-94,2.3935e-94,8.35574e-95,2.91644e-95,1.01774e-95,3.55091e-96,1.23868e-96,4.32015e-97,1.50646e-97,5.25213e-98,1.83077e-98,6.3805e-99,2.2233e-99,7.74574e-100,2.69806e-100,9.39644e-101,3.2719e-101,1.1391e-101,3.96506e-102,1.37995e-102,4.80179e-103
1.00531e-72,3.58088e-73,1.27506e-73,4.53865e-74,1.61503e-74,5.74501e-75,2.04297e-75,7.26261e-76,2.58099e-76,9.16947e-77,3.25662e-77,1.15626e-77,4.10404e-78,1.45625e-78,5.16573e-79,1.83188e-79,6.49437e-80,2.30171e-80,8.15525e-81,2.88869e-81,1.02292e-81,3.62128e-82,1.28162e-82,4.53461e-83,1.60399e-83,5.67212e-84,2.00527e-84,7.08739e-85,2.50429e-85,8.84648e-86,3.12424e-86,1.10308e-86,3.89367e-87,1.37405e-87,4.84772e-88,1.70988e-88,6.02958e-89,2.12571e-89,7.4923e-90,2.64012e-90,9.30099e-91,3.27592e-91,1.15355e-91,4.06105e-92,1.42936e-92,5.02975e-93,1.76951e-93,6.22393e-94,2.18866e-94,7.69481e-95,2.70472e-95,9.50504e-96,3.33958e-96,1.17311e-96,4.11995e-97,1.44663e-97,5.07844e-98,1.78244e-98,6.25475e-99,2.19441e-99,7.69731e-100,2.69944e-100,9.46503e-101
8.77255e-71,3.15558e-71,1.13466e-71,4.07836e-72,1.46535e-72,5.26305e-73,1.88961e-73,6.78184e-74,2.43313e-74,8.72624e-75,3.12849e-75,1.12122e-75,4.01692e-76,1.43862e-76,5.15053e-77,1.84336e-77,6.59512e-78,2.3588e-78,8.43365e-79,3.01439e-79,1.07706e-79,3.84721e-80,1.37376e-80,4.9039e-81,1.74999e-81,6.24304e-82,2.22651e-82,7.93816e-83,2.82934e-83,1.00814e-83,3.59111e-84,1.27882e-84,4.55266e-85,1.6203e-85,5.76503e-86,2.05062e-86,7.29201e-87,2.59232e-87,9.2132e-88,3.27351e-88,1.16279e-88,4.12924e-89,1.46597e-89,5.20311e-90,1.84624e-90,6.5494e-91,2.32275e-91,8.23557e-92,2.91927e-92,1.03454e-92,3.6653e-93,1.29827e-93,4.59743e-94,1.62765e-94,5.76102e-95,2.03861e-95,7.2122e-96,2.55093e-96,9.02044e-97,3.18901e-97,1.12716e-97,3.98304e-98,1.40717e-98
6.02767e-69,2.18941e-69,7.94907e-70,2.88483e-70,1.0465e-70,3.79471e-71,1.37543e-71,4.9833e-72,1.80476e-72,6.53353e-73,2.3643e-73,8.55235e-74,3.09242e-74,1.11775e-74,4.03851e-75,1.45859e-75,5.26604e-76,1.90051e-76,6.85642e-77,2.47266e-77,8.91405e-78,3.21239e-78,1.15725e-78,4.16748e-79,1.50026e-79,5.39896e-80,1.94225e-80,6.98474e-81,2.51102e-81,9.02409e-82,3.242e-82,1.16434e-82,4.18029e-83,1.50035e-83,5.38318e-84,1.93085e-84,6.92341e-85,2.48174e-85,8.89321e-86,3.18587e-86,1.14094e-86,4.0848e-87,1.462e-87,5.23111e-88,1.87117e-88,6.69124e-89,2.39207e-89,8.54902e-90,3.05447e-90,1.09102e-90,3.89589e-91,1.39079e-91,4.96359e-92,1.77097e-92,6.317e-93,2.25264e-93,8.03079e-94,2.86226e-94,1.01987e-94,3.63303e-95,1.29384e-95,4.6066e-96,1.63972e-96
