0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.73011e-243,1.25062e-243,4.193e-244,1.40579e-244,4.71312e-245,1.58013e-245,5.29752e-246,1.77602e-246,5.95411e-247,1.9961e-247,6.6918e-248,2.24336e-248,7.52056e-249,2.52114e-249,8.45159e-250,2.83319e-250,9.49747e-251,3.18373e-251,1.06723e-251,3.57749e-252,1.1992e-252,4.01978e-253,1.34743e-253,4.51656e-254,1.51392e-254,5.07452e-255,1.70091e-255,5.70119e-256,1.91092e-256,6.40498e-257,2.14678e-257,7.19535e-258,2.41164e-258,8.08294e-259,2.70908e-259,9.07965e-260,3.04308e-260,1.01989e-260,3.41812e-261,1.14556e-261,3.83923e-262,1.28667e-262,4.31205e-263,1.4451e-263,4.84293e-264,1.62298e-264,5.43894e-265,1.82269e-265,6.10808e-266,2.04689e-266,6.85929e-267,2.29858e-267,7.70258e-268,2.58113e-268,8.64924e-269,2.8983e-269,9.71188e-270,3.25432e-270,1.09047e-270,3.65394e-271,1.22435e-271,4.10249e-272,1.37462e-272,4.60593e-273,1.54329e-273,5.17097e-274,1.73258e-274,5.80511e-275,1.94502e-275,6.5168e-276,2.18344e-276,7.31548e-277,2.45099e-277,8.21175e-278,2.75123e-278,9.21752e-279,3.08814e-279,1.03461e-279,3.4662e-280,1.16125e-280,3.8904e-281,1.30334e-281,4.36637e-282,1.46278e-282,4.90041e-283,1.64166e-283,5.49958e-284,1.84235e-284,6.17181e-285,2.06751e-285,6.92597e-286,2.32012e-286,7.77204e-287,2.6035e-287,8.72118e-288,2.92139e-288,9.78592e-289,3.278e-289,1.09803e-289,3.67802e-290,1.232e-290,4.12673e-291,1.38228e-291,4.63003e-292,1.55084e-292,5.19455e-293,1.7399e-293,5.82772e-294,1.95195e-294,6.53786e-295,2.18977e-295,7.33432e-296,2.4565e-296,8.22754e-297,2.75563e-297,9.22927e-298,3.09109e-298,1.03527e-298,3.46728e-299,1.16124e-299,3.88914e-300,1.30251e-300,4.3622e-301,1.46092e-301,4.89265e-302,1.63855e-302
2.77353e-234,9.38873e-235,3.1781e-235,1.07576e-235,3.64124e-236,1.23246e-236,4.17139e-237,1.41181e-237,4.77817e-238,1.61709e-238,5.47259e-239,1.85199e-239,6.26721e-240,2.12078e-240,7.17639e-241,2.42831e-241,8.21654e-242,2.78011e-242,9.4064e-243,3.18253e-243,1.07674e-243,3.6428e-244,1.23239e-244,4.16917e-245,1.41039e-245,4.77108e-246,1.61392e-246,5.4593e-247,1.84663e-247,6.24612e-248,2.11266e-248,7.14558e-249,2.41676e-249,8.1737e-250,2.76435e-250,9.34877e-251,3.16159e-251,1.06916e-251,3.61554e-252,1.22262e-252,4.13424e-253,1.39795e-253,4.72688e-254,1.59826e-254,5.40391e-255,1.82709e-255,6.1773e-256,2.08847e-256,7.06066e-257,2.387e-257,8.06955e-258,2.72794e-258,9.22167e-259,3.11727e-259,1.05373e-259,3.56181e-260,1.20393e-260,4.06935e-261,1.37542e-261,4.64876e-262,1.57119e-262,5.31017e-263,1.79464e-263,6.0651e-264,2.04969e-264,6.9267e-265,2.34075e-265,7.90995e-266,2.6729e-266,9.03194e-267,3.05189e-267,1.03121e-267,3.48431e-268,1.17727e-268,3.97762e-269,1.34389e-269,4.54037e-270,1.53395e-270,5.18226e-271,1.75073e-271,5.91437e-272,1.99797e-272,6.7493e-273,2.27992e-273,7.70142e-274,2.60143e-274,8.78708e-275,2.96802e-275,1.00249e-275,3.38598e-276,1.14361e-276,3.86245e-277,1.30448e-277,4.4056e-278,1.48786e-278,5.02469e-279,1.69687e-279,5.73029e-280,1.93507e-280,6.53443e-281,2.20653e-281,7.45079e-282,2.51586e-282,8.49495e-283,2.86831e-283,9.68464e-284,3.26988e-284,1.104e-284,3.72735e-285,1.25841e-285,4.24848e-286,1.43429e-286,4.84208e-287,1.63462e-287,5.51817e-288,1.86279e-288,6.28817e-289,2.12264e-289,7.16504e-290,2.41854e-290,8.16354e-291,2.75547e-291,9.30045e-292,3.13909e-292,1.05949e-292,3.57585e-293
9.45997e-227,3.23284e-227,1.10474e-227,3.77496e-228,1.28987e-228,4.40715e-229,1.50574e-229,5.14426e-230,1.75742e-230,6.00353e-231,2.05078e-231,7.00504e-232,2.39267e-232,8.17212e-233,2.79105e-233,9.53191e-234,3.25517e-234,1.1116e-234,3.79579e-235,1.29609e-235,4.4254e-236,1.51095e-236,5.15853e-237,1.7611e-237,6.01207e-238,2.05232e-238,7.00561e-239,2.39127e-239,8.16192e-240,2.78572e-240,9.50745e-241,3.24468e-241,1.10729e-241,3.77862e-242,1.2894e-242,4.39968e-243,1.5012e-243,5.12196e-244,1.7475e-244,5.96182e-245,2.03387e-245,6.93824e-246,2.36678e-246,8.07326e-247,2.75374e-247,9.39243e-248,3.20343e-248,1.09254e-248,3.72597e-249,1.27065e-249,4.33305e-250,1.47756e-250,5.03824e-251,1.71789e-251,5.85727e-252,1.997e-252,6.80838e-253,2.32109e-253,7.91269e-254,2.69736e-254,9.19471e-255,3.13415e-255,1.06828e-255,3.64111e-256,1.24098e-256,4.22943e-257,1.44139e-257,4.91206e-258,1.6739e-258,5.70401e-259,1.94364e-259,6.62267e-260,2.2565e-260,7.68814e-261,2.61934e-261,8.92371e-262,3.04007e-262,1.03563e-262,3.52788e-263,1.20172e-263,4.09336e-264,1.39425e-264,4.7488e-265,1.61738e-265,5.50841e-266,1.87596e-266,6.38863e-267,2.17558e-267,7.40845e-268,2.52269e-268,8.58986e-269,2.92478e-269,9.95829e-270,3.39048e-270,1.15431e-270,3.9298e-271,1.33784e-271,4.55428e-272,1.55032e-272,5.27729e-273,1.79632e-273,6.11424e-274,2.08107e-274,7.08298e-275,2.41063e-275,8.20412e-276,2.79202e-276,9.50147e-277,3.23332e-277,1.10025e-277,3.74387e-278,1.2739e-278,4.33448e-279,1.47477e-279,5.01762e-280,1.70709e-280,5.80767e-281,1.97575e-281,6.72126e-282,2.28641e-282,7.77757e-283,2.64557e-283,8.99876e-284,3.06078e-284,1.04104e-284,3.54069e-285
5.10619e-220,1.76143e-220,6.07586e-221,2.09566e-221,7.22782e-222,2.49267e-222,8.59596e-223,2.96413e-223,1.02205e-223,3.52386e-224,1.21489e-224,4.18822e-225,1.44376e-225,4.97661e-226,1.71532e-226,5.91192e-227,2.03745e-227,7.02129e-228,2.41947e-228,8.33678e-229,2.87243e-229,9.89634e-230,3.40936e-230,1.17448e-230,4.04569e-231,1.39352e-231,4.79964e-232,1.65302e-232,5.69273e-233,1.96037e-233,6.75043e-234,2.32433e-234,8.00277e-235,2.75523e-235,9.48525e-236,3.26524e-236,1.12398e-236,3.86878e-237,1.33158e-237,4.58283e-238,1.57716e-238,5.42744e-239,1.86762e-239,6.42627e-240,2.21108e-240,7.60721e-241,2.61712e-241,9.00319e-242,3.09703e-242,1.0653e-242,3.66415e-243,1.26024e-243,4.33417e-244,1.49052e-244,5.12561e-245,1.7625e-245,6.06026e-246,2.08367e-246,7.16382e-247,2.46284e-247,8.46654e-248,2.9104e-248,1.00041e-248,3.43856e-249,1.18183e-249,4.06173e-250,1.39587e-250,4.79684e-251,1.64833e-251,5.66383e-252,1.94605e-252,6.68616e-253,2.29709e-253,7.89143e-254,2.71089e-254,9.31207e-255,3.1986e-255,1.09863e-255,3.77329e-256,1.29589e-256,4.45036e-257,1.52827e-257,5.24789e-258,1.80197e-258,6.18713e-259,2.12427e-259,7.29306e-260,2.50373e-260,8.595e-261,2.95041e-261,1.01274e-261,3.47612e-262,1.19308e-262,4.09472e-263,1.40527e-263,4.8225e-264,1.65487e-264,5.67856e-265,1.94846e-265,6.68534e-266,2.2937e-266,7.86916e-267,2.69961e-267,9.26091e-268,3.17677e-268,1.08968e-268,3.7376e-269,1.28194e-269,4.39664e-270,1.50784e-270,5.17095e-271,1.77323e-271,6.08055e-272,2.08497e-272,7.14888e-273,2.45107e-273,8.40342e-274,2.88096e-274,9.8764e-275,3.38564e-275,1.16055e-275,3.97805e-276,1.3635e-276,4.67331e-277,1.60167e-277,5.48914e-278
7.38881e-214,2.57261e-214,8.9565e-215,3.11793e-215,1.08533e-215,3.77762e-216,1.31474e-216,4.5754e-217,1.59214e-217,5.53988e-218,1.92745e-218,6.70553e-219,2.33264e-219,8.11389e-220,2.82212e-220,9.81496e-221,3.41324e-221,1.1869e-221,4.1269e-222,1.43484e-222,4.98824e-223,1.73404e-223,6.0275e-224,2.09499e-224,7.28107e-225,2.53032e-225,8.79271e-226,3.05518e-226,1.0615e-226,3.68782e-227,1.28111e-227,4.45014e-228,1.54571e-228,5.36846e-229,1.86441e-229,6.47439e-230,2.24816e-230,7.80589e-231,2.71011e-231,9.40851e-232,3.26605e-232,1.13369e-232,3.93492e-233,1.36567e-233,4.73942e-234,1.64465e-234,5.7068e-235,1.98007e-235,6.86972e-236,2.38324e-236,8.26733e-237,2.8677e-237,9.94653e-238,3.44969e-238,1.19635e-238,4.14867e-239,1.43856e-239,4.98793e-240,1.72935e-240,5.99536e-241,2.07835e-241,7.20433e-242,2.49712e-242,8.65481e-243,2.99948e-243,1.03946e-243,3.60196e-244,1.24808e-244,4.32432e-245,1.49818e-245,5.1902e-246,1.79794e-246,6.22787e-247,2.15713e-247,7.47108e-248,2.5874e-248,8.96019e-249,3.10273e-249,1.07434e-249,3.71975e-250,1.28783e-250,4.45836e-251,1.54335e-251,5.3423e-252,1.84912e-252,6.39993e-253,2.21492e-253,7.66506e-254,2.65244e-254,9.17805e-255,3.17562e-255,1.0987e-255,3.80107e-256,1.31494e-256,4.54862e-257,1.57336e-257,5.4419e-258,1.88212e-258,6.50906e-259,2.25094e-259,7.78367e-260,2.69141e-260,9.30569e-261,3.21731e-261,1.11228e-261,3.84509e-262,1.32916e-262,4.59432e-263,1.58796e-263,5.48828e-264,1.89673e-264,6.5547e-265,2.26503e-265,7.82656e-266,2.70423e-266,9.34313e-267,3.22788e-267,1.11511e-267,3.85206e-268,1.33059e-268,4.59594e-269,1.58737e-269,5.48226e-270,1.89329e-270,6.53809e-271,2.25767e-271
3.85154e-208,1.35338e-208,4.75513e-209,1.67056e-209,5.86841e-210,2.06127e-210,7.2395e-211,2.54237e-211,8.92747e-212,3.13455e-212,1.10048e-212,3.86318e-213,1.35603e-213,4.75937e-214,1.67028e-214,5.86124e-215,2.05659e-215,7.21551e-216,2.53131e-216,8.87938e-217,3.11444e-217,1.09229e-217,3.8305e-218,1.34318e-218,4.70947e-219,1.65109e-219,5.78803e-220,2.02886e-220,7.11104e-221,2.49216e-221,8.73333e-222,3.06017e-222,1.07219e-222,3.75631e-223,1.31587e-223,4.60919e-224,1.61436e-224,5.65374e-225,1.97986e-225,6.93261e-226,2.42729e-226,8.49783e-227,2.9748e-227,1.04129e-227,3.64458e-228,1.27552e-228,4.46364e-229,1.56191e-229,5.46494e-230,1.91196e-230,6.68862e-231,2.33969e-231,8.18359e-232,2.86216e-232,1.00094e-232,3.50015e-233,1.22386e-233,4.27896e-234,1.49593e-234,5.22937e-235,1.8279e-235,6.38882e-236,2.23282e-236,7.80285e-237,2.72658e-237,9.52683e-238,3.32847e-238,1.1628e-238,4.06195e-239,1.41882e-239,4.95552e-240,1.73068e-240,6.04378e-241,2.11042e-241,7.36877e-242,2.5727e-242,8.98149e-243,3.13528e-243,1.09438e-243,3.81972e-244,1.33309e-244,4.65218e-245,1.62338e-245,5.66438e-246,1.97629e-246,6.89475e-247,2.40521e-247,8.3899e-248,2.92636e-248,1.02063e-248,3.55939e-249,1.24123e-249,4.3281e-250,1.50907e-250,5.2613e-251,1.83419e-251,6.39388e-252,2.22871e-252,7.76806e-253,2.70732e-253,9.43491e-254,3.28779e-254,1.14562e-254,3.99159e-255,1.39066e-255,4.8447e-256,1.68765e-256,5.87852e-257,2.0475e-257,7.13098e-258,2.48339e-258,8.64792e-259,3.01126e-259,1.04847e-259,3.65035e-260,1.27082e-260,4.42388e-261,1.53991e-261,5.35989e-262,1.86547e-262,6.49222e-263,2.25927e-263,7.86168e-264,2.73548e-264,9.51752e-265,3.3112e-265
8.74139e-203,3.09963e-203,1.09898e-203,3.89599e-204,1.38101e-204,4.89473e-205,1.73464e-205,6.1467e-206,2.17784e-206,7.71543e-207,2.73304e-207,9.68019e-208,3.42826e-208,1.21399e-208,4.29842e-209,1.52179e-209,5.38709e-210,1.9068e-210,6.74855e-211,2.38818e-211,8.45042e-212,2.9898e-212,1.05769e-212,3.74138e-213,1.3233e-213,4.6799e-214,1.65489e-214,5.85137e-215,2.06871e-215,7.31303e-216,2.58493e-216,9.136e-217,3.22863e-217,1.14087e-217,4.03097e-218,1.42409e-218,5.03063e-219,1.7769e-219,6.27566e-220,2.21622e-220,7.82566e-221,2.76304e-221,9.7546e-222,3.44341e-222,1.21542e-222,4.28962e-223,1.5138e-223,5.34168e-224,1.88471e-224,6.64916e-225,2.34557e-225,8.27347e-226,2.918e-226,1.02906e-226,3.62874e-227,1.27947e-227,4.51087e-228,1.5902e-228,5.60533e-229,1.97565e-229,6.9627e-230,2.45361e-230,8.64554e-231,3.04606e-231,1.07311e-231,3.78017e-232,1.33149e-232,4.68948e-233,1.65148e-233,5.8154e-234,2.04761e-234,7.20903e-235,2.53785e-235,8.93342e-236,3.14434e-236,1.10663e-236,3.89437e-237,1.37036e-237,4.8216e-238,1.69633e-238,5.96749e-239,2.09911e-239,7.38313e-240,2.59662e-240,9.13143e-241,3.21093e-241,1.12898e-241,3.96921e-242,1.39536e-242,4.90488e-243,1.72399e-243,6.05907e-244,2.12931e-244,7.48231e-245,2.62903e-245,9.23677e-246,3.24495e-246,1.13988e-246,4.00383e-247,1.40623e-247,4.93855e-248,1.73423e-248,6.08948e-249,2.13805e-249,7.5062e-250,2.63504e-250,9.24951e-251,3.2465e-251,1.1394e-251,3.99857e-252,1.40313e-252,4.92329e-253,1.72734e-253,6.05993e-254,2.1258e-254,7.45664e-255,2.61535e-255,9.1724e-256,3.21664e-256,1.12794e-256,3.95493e-257,1.38662e-257,4.86118e-258,1.70409e-258,5.97326e-259,2.09361e-259
9.85675e-198,3.52667e-198,1.26165e-198,4.51292e-199,1.61406e-199,5.77196e-200,2.06382e-200,7.37846e-201,2.63757e-201,9.42726e-202,3.36909e-202,1.20388e-202,4.30131e-203,1.53661e-203,5.48873e-204,1.96031e-204,7.00043e-205,2.4996e-205,8.92407e-206,3.18567e-206,1.13707e-206,4.05807e-207,1.4481e-207,5.16684e-208,1.84331e-208,6.57538e-209,2.34526e-209,8.36389e-210,2.98246e-210,1.06338e-210,3.79098e-211,1.35133e-211,4.81641e-212,1.71646e-212,6.11634e-213,2.17921e-213,7.76351e-214,2.76545e-214,9.84971e-215,3.50777e-215,1.24908e-215,4.44732e-216,1.58328e-216,5.63596e-217,2.00599e-217,7.13907e-218,2.54042e-218,9.03901e-219,3.21579e-219,1.14395e-219,4.0689e-220,1.44711e-220,5.14607e-221,1.8298e-221,6.50554e-222,2.31269e-222,8.22059e-223,2.92174e-223,1.03833e-223,3.68961e-224,1.31093e-224,4.65729e-225,1.6544e-225,5.87627e-226,2.08697e-226,7.41117e-227,2.63155e-227,9.34307e-228,3.31683e-228,1.17737e-228,4.17884e-229,1.48305e-229,5.2627e-230,1.86732e-230,6.62498e-231,2.3502e-231,8.33648e-232,2.95676e-232,1.04859e-232,3.71836e-233,1.31842e-233,4.67427e-234,1.65703e-234,5.87358e-235,2.08177e-235,7.37768e-236,2.61435e-236,9.26332e-237,3.28191e-237,1.16264e-237,4.11831e-238,1.45866e-238,5.16588e-239,1.82934e-239,6.47743e-240,2.29334e-240,8.11886e-241,2.87395e-241,1.01724e-241,3.60019e-242,1.27405e-242,4.50824e-243,1.5951e-243,5.64323e-244,1.99631e-244,7.06134e-245,2.49751e-245,8.83255e-246,3.12339e-246,1.1044e-246,3.90469e-247,1.38041e-247,4.87966e-248,1.72477e-248,6.09586e-249,2.15427e-249,7.61247e-250,2.68975e-250,9.50301e-251,3.35715e-251,1.18589e-251,4.18867e-252,1.47935e-252,5.2243e-253,1.84479e-253,6.51372e-254
6.08565e-193,2.19685e-193,7.92922e-194,2.86152e-194,1.03252e-194,3.72512e-195,1.34375e-195,4.84655e-196,1.74778e-196,6.30197e-197,2.27198e-197,8.18978e-198,2.95174e-198,1.06371e-198,3.83272e-199,1.3808e-199,4.97385e-200,1.79141e-200,6.45115e-201,2.32284e-201,8.36261e-202,3.01027e-202,1.08345e-202,3.89901e-203,1.40294e-203,5.0474e-204,1.81567e-204,6.53052e-205,2.34856e-205,8.44493e-206,3.03622e-206,1.09148e-206,3.92317e-207,1.40995e-207,5.06655e-208,1.82039e-208,6.53974e-209,2.3491e-209,8.43693e-210,3.02979e-210,1.08789e-210,3.90573e-211,1.40205e-211,5.03235e-212,1.80602e-212,6.48066e-213,2.32521e-213,8.34162e-214,2.99216e-214,1.07316e-214,3.8485e-215,1.37995e-215,4.94747e-216,1.77357e-216,6.35715e-217,2.27836e-217,8.16451e-218,2.9254e-218,1.04806e-218,3.75438e-219,1.34473e-219,4.81596e-220,1.72456e-220,6.17478e-221,2.21062e-221,7.91324e-222,2.83233e-222,1.01364e-222,3.6272e-223,1.29781e-223,4.64299e-224,1.66087e-224,5.94049e-225,2.12452e-225,7.5971e-226,2.71635e-226,9.71126e-227,3.47149e-227,1.24081e-227,4.43454e-228,1.58468e-228,5.66221e-229,2.02294e-229,7.22654e-230,2.58125e-230,9.21896e-231,3.2922e-231,1.17555e-231,4.19712e-232,1.49835e-232,5.34845e-233,1.90895e-233,6.81264e-234,2.43102e-234,8.67394e-235,3.09455e-235,1.1039e-235,3.93749e-236,1.4043e-236,5.00792e-237,1.7857e-237,6.36668e-238,2.26972e-238,8.09071e-239,2.88374e-239,1.02773e-239,3.66234e-240,1.30495e-240,4.64924e-241,1.65626e-241,5.89968e-242,2.10128e-242,7.48337e-243,2.66481e-243,9.48834e-244,3.37809e-244,1.20257e-244,4.28058e-245,1.52354e-245,5.42202e-246,1.92942e-246,6.86511e-247,2.44246e-247,8.68886e-248,3.0907e-248,1.09928e-248
