0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07887e-11,2.88755e-06,0.000185758,0.00148786,0.00517892,0.0118833,0.0214883,0.0334823,0.0472405,0.0621765,0.077799,0.0937218,0.109653,0.125379,0.140748,0.155654,0.170028,0.183826,0.197024,0.209611,0.221589,0.232963,0.243745,0.253951,0.263597,0.272702,0.281284,0.289361,0.296953,0.304076,0.310749,0.316986,0.322804,0.328216,0.333237,0.337878,0.342152,0.346068,0.349636,0.352866,0.355765,0.35834,0.360598,0.362544,0.364182,0.365517,0.366553,0.36729,0.367732
0,0,0,0,0,0,0,0,0,0,0,0,1.68573e-13,4.5116e-08,2.36106e-06,-1.02283e-05,-0.000109355,1.69569e-05,0.00139831,0.00518676,0.0119455,0.021567,0.0335571,0.0473036,0.0622263,0.0778367,0.0937495,0.109673,0.125393,0.140757,0.15566,0.170031,0.183827,0.197024,0.209611,0.221587,0.232961,0.243743,0.253949,0.263595,0.272699,0.281281,0.289359,0.296951,0.304074,0.310747,0.316984,0.322802,0.328215,0.333236,0.337877,0.34215,0.346067,0.349635,0.352865,0.355764,0.358339,0.360597,0.362543,0.364182,0.365517,0.366552,0.36729
0,0,0,0,0,0,0,0,0,0,2.63395e-15,7.04905e-10,2.84324e-08,-5.81368e-07,1.34126e-06,1.73089e-05,-3.80123e-05,-0.000236141,-0.000136252,0.00131743,0.00519415,0.0120054,0.021644,0.033631,0.0473662,0.0622759,0.0778744,0.0937772,0.109693,0.125407,0.140766,0.155666,0.170034,0.183829,0.197024,0.20961,0.221586,0.232959,0.243741,0.253946,0.263592,0.272697,0.281279,0.289357,0.296949,0.304072,0.310745,0.316983,0.322801,0.328213,0.333234,0.337876,0.342149,0.346066,0.349634,0.352864,0.355763,0.358339,0.360597,0.362543,0.364181,0.365517,0.366552
0,0,0,0,0,0,0,0,4.11555e-17,1.10136e-11,3.12088e-10,-1.40845e-08,1.43688e-07,-2.37459e-07,-3.53366e-06,1.22238e-05,3.42542e-05,-8.35069e-05,-0.000367903,-0.000278622,0.00124383,0.00520174,0.0120634,0.0217195,0.0337041,0.0474285,0.0623254,0.0779121,0.0938049,0.109713,0.12542,0.140775,0.155671,0.170038,0.18383,0.197024,0.209609,0.221585,0.232957,0.243739,0.253944,0.26359,0.272695,0.281277,0.289355,0.296947,0.30407,0.310743,0.316981,0.322799,0.328212,0.333233,0.337874,0.342148,0.346064,0.349633,0.352863,0.355763,0.358338,0.360596,0.362542,0.364181,0.365516
0,0,0,0,0,0,6.43054e-19,1.72081e-13,2.81133e-12,-2.73424e-10,5.03846e-09,-3.70768e-08,4.87852e-08,8.21093e-07,-3.52651e-06,-4.0186e-06,3.23447e-05,4.64714e-05,-0.000142934,-0.000501233,-0.000412254,0.00117627,0.00520983,0.0121197,0.0217934,0.0337764,0.0474904,0.0623748,0.0779497,0.0938327,0.109732,0.125434,0.140785,0.155677,0.170041,0.183832,0.197024,0.209608,0.221583,0.232955,0.243737,0.253942,0.263588,0.272692,0.281274,0.289352,0.296944,0.304068,0.310741,0.316979,0.322797,0.32821,0.333231,0.337873,0.342147,0.346063,0.349632,0.352862,0.355762,0.358337,0.360595,0.362542,0.364181
0,0,0,0,1.00477e-20,2.68864e-15,1.16622e-14,-4.71872e-12,1.31408e-10,-1.6506e-09,9.92254e-09,-1.09017e-08,-2.06336e-07,1.00555e-06,7.45455e-08,-9.09043e-06,1.45846e-06,5.83805e-05,5.12281e-05,-0.000213141,-0.000634435,-0.000538476,0.00111387,0.00521854,0.0121746,0.0218659,0.0338477,0.0475519,0.062424,0.0779873,0.0938605,0.109752,0.125448,0.140794,0.155683,0.170044,0.183833,0.197024,0.209608,0.221582,0.232954,0.243735,0.25394,0.263586,0.27269,0.281272,0.28935,0.296942,0.304066,0.310739,0.316977,0.322795,0.328209,0.33323,0.337872,0.342146,0.346062,0.349631,0.352862,0.355761,0.358337,0.360595,0.362541
0,0,1.56996e-22,4.20081e-17,-3.21893e-16,-7.46563e-14,2.94498e-12,-5.26345e-11,5.23471e-10,-2.73128e-09,2.56128e-09,5.46388e-08,-2.88832e-07,1.97737e-07,2.29879e-06,-3.43907e-06,-1.45651e-05,1.39723e-05,8.71082e-05,4.76585e-05,-0.000291711,-0.000766563,-0.000658233,0.00105594,0.00522791,0.0122283,0.0219371,0.0339183,0.047613,0.0624731,0.0780249,0.0938883,0.109772,0.125462,0.140803,0.155689,0.170048,0.183835,0.197025,0.209607,0.22158,0.232952,0.243733,0.253937,0.263583,0.272688,0.28127,0.289348,0.29694,0.304064,0.310737,0.316975,0.322794,0.328207,0.333228,0.33787,0.342144,0.346061,0.34963,0.352861,0.35576,0.358336,0.360594
2.45306e-24,6.56347e-19,-1.2906e-17,-1.08646e-15,5.98861e-14,-1.40977e-12,1.93866e-11,-1.63853e-10,7.68319e-10,-6.19745e-10,-1.50199e-08,8.39142e-08,-1.05453e-07,-5.46854e-07,1.56541e-06,2.6581e-06,-9.69736e-06,-1.77151e-05,3.31492e-05,0.000116021,3.57638e-05,-0.000376794,-0.000897063,-0.00077225,0.00100195,0.00523795,0.0122809,0.0220071,0.033988,0.0476737,0.062522,0.0780625,0.0939161,0.109792,0.125476,0.140813,0.155695,0.170051,0.183836,0.197025,0.209606,0.221579,0.23295,0.243731,0.253935,0.263581,0.272686,0.281268,0.289346,0.296938,0.304062,0.310735,0.316974,0.322792,0.328205,0.333227,0.337869,0.342143,0.34606,0.349629,0.35286,0.355759,0.358335
-3.2472e-19,-1.42484e-17,1.13375e-15,-3.37727e-14,5.94706e-13,-6.8225e-12,5.10304e-11,-2.19843e-10,1.52225e-10,4.24602e-09,-2.46627e-08,4.20267e-08,1.22653e-07,-5.55837e-07,-2.38561e-07,3.59108e-06,1.00922e-06,-1.77876e-05,-1.69849e-05,5.79472e-05,0.00014332,1.59432e-05,-0.000466963,-0.0010256,-0.000881102,0.000951483,0.00524864,0.0123326,0.022076,0.0340569,0.0477339,0.0625707,0.0781,0.093944,0.109812,0.12549,0.140822,0.155701,0.170054,0.183838,0.197025,0.209605,0.221578,0.232948,0.243728,0.253933,0.263579,0.272683,0.281265,0.289343,0.296936,0.30406,0.310733,0.316972,0.32279,0.328204,0.333225,0.337868,0.342142,0.346059,0.349628,0.352859,0.355759
2.024e-17,-7.47137e-16,1.61481e-14,-2.33304e-13,2.3365e-12,-1.58715e-11,6.37655e-11,-3.75042e-11,-1.22661e-09,7.32597e-09,-1.51144e-08,-2.52581e-08,1.78157e-07,-8.48051e-08,-1.06479e-06,1.00381e-06,5.52929e-06,-3.17515e-06,-2.6451e-05,-1.15161e-05,8.71025e-05,0.00016777,-1.12338e-05,-0.000561101,-0.00115198,-0.000985261,0.000904181,0.00525996,0.0123835,0.0221437,0.034125,0.0477937,0.0626193,0.0781374,0.0939718,0.109832,0.125504,0.140831,0.155707,0.170058,0.183839,0.197025,0.209605,0.221576,0.232946,0.243726,0.253931,0.263576,0.272681,0.281263,0.289341,0.296934,0.304058,0.310731,0.31697,0.322789,0.328202,0.333224,0.337866,0.342141,0.346058,0.349627,0.352858
4.018e-16,-7.01199e-15,8.74043e-14,-7.86469e-13,4.93852e-12,-1.87003e-11,9.15712e-12,3.60515e-10,-2.19689e-09,5.1781e-09,4.38309e-09,-5.4041e-08,6.64417e-08,2.72243e-07,-6.2359e-07,-1.22669e-06,3.1888e-06,6.54266e-06,-9.88712e-06,-3.44337e-05,-1.00068e-06,0.000119357,0.000188561,-4.51417e-05,-0.000658324,-0.00127608,-0.00108512,0.000859753,0.00527188,0.0124336,0.0222104,0.0341924,0.0478532,0.0626677,0.0781748,0.0939997,0.109853,0.125518,0.140841,0.155713,0.170061,0.183841,0.197026,0.209604,0.221575,0.232945,0.243724,0.253929,0.263574,0.272679,0.281261,0.289339,0.296932,0.304056,0.31073,0.316968,0.322787,0.328201,0.333223,0.337865,0.342139,0.346057,0.349626
2.86009e-15,-3.17399e-14,2.6171e-13,-1.53864e-12,5.53423e-12,-2.18239e-12,-1.07455e-10,6.64336e-10,-1.72812e-09,-4.24037e-10,1.58292e-08,-3.03421e-08,-5.94262e-08,2.55144e-07,1.50002e-07,-1.38317e-06,-6.64191e-07,6.00388e-06,5.93476e-06,-1.87296e-05,-4.06616e-05,1.44831e-05,0.000153563,0.000205187,-8.51553e-05,-0.000757923,-0.00139785,-0.00118102,0.000817952,0.00528438,0.012483,0.0222762,0.034259,0.0479121,0.0627159,0.0782122,0.0940276,0.109873,0.125532,0.14085,0.155719,0.170065,0.183842,0.197026,0.209603,0.221574,0.232943,0.243722,0.253926,0.263572,0.272676,0.281258,0.289337,0.296929,0.304054,0.310728,0.316966,0.322785,0.328199,0.333221,0.337864,0.342138,0.346056
1.12744e-14,-8.64083e-14,4.80193e-13,-1.65026e-12,4.957e-13,3.24017e-11,-2.02384e-10,5.68054e-10,-1.24641e-10,-4.51947e-09,1.1699e-08,9.75046e-09,-8.81932e-08,3.21672e-08,4.54441e-07,-3.09758e-07,-2.10127e-06,8.40784e-07,8.94217e-06,3.25343e-06,-2.90771e-05,-4.43041e-05,3.46084e-05,0.000188721,0.000217365,-0.000130678,-0.000859328,-0.00151728,-0.00127326,0.000778565,0.00529741,0.0125319,0.0223411,0.0343249,0.0479707,0.0627639,0.0782495,0.0940555,0.109893,0.125546,0.14086,0.155725,0.170068,0.183844,0.197026,0.209603,0.221572,0.232941,0.24372,0.253924,0.263569,0.272674,0.281256,0.289335,0.296927,0.304052,0.310726,0.316964,0.322784,0.328198,0.33322,0.337862,0.342137
2.83731e-14,-1.50141e-13,4.9524e-13,-1.02268e-13,-9.86595e-12,6.20579e-11,-1.85029e-10,1.09745e-10,1.26284e-09,-4.14994e-09,-2.82063e-10,2.75545e-08,-3.31415e-08,-1.23207e-07,2.43958e-07,5.22074e-07,-1.11323e-06,-2.45723e-06,3.30474e-06,1.1433e-05,-1.69458e-06,-4.02062e-05,-4.47763e-05,5.89024e-05,0.000223988,0.000224968,-0.000181154,-0.000962072,-0.00163436,-0.00136208,0.000741407,0.00531096,0.0125801,0.0224052,0.0343902,0.0480289,0.0628117,0.0782868,0.0940833,0.109913,0.12556,0.140869,0.155731,0.170072,0.183846,0.197026,0.209602,0.221571,0.232939,0.243718,0.253922,0.263567,0.272672,0.281254,0.289332,0.296925,0.30405,0.310724,0.316963,0.322782,0.328196,0.333218,0.337861
4.70322e-14,-1.49428e-13,1.66996e-14,3.02904e-12,-1.91395e-11,5.99334e-11,-5.40576e-11,-3.45535e-10,1.40138e-09,-7.36076e-10,-7.97327e-09,1.64628e-08,2.68378e-08,-1.10105e-07,-7.48919e-08,5.34959e-07,3.18513e-07,-2.1456e-06,-2.1598e-06,6.56208e-06,1.29405e-05,-8.87622e-06,-5.13876e-05,-4.17127e-05,8.68181e-05,0.000258664,0.000227978,-0.000236074,-0.00106577,-0.00174912,-0.00144771,0.000706316,0.005325,0.0126279,0.0224684,0.0344548,0.0480866,0.0628593,0.0783239,0.0941112,0.109933,0.125575,0.140879,0.155737,0.170075,0.183847,0.197027,0.209601,0.22157,0.232937,0.243716,0.25392,0.263565,0.272669,0.281252,0.28933,0.296923,0.304048,0.310722,0.316961,0.32278,0.328194,0.333217
4.52962e-14,-6.96274e-16,-9.36611e-13,5.93335e-12,-1.93476e-11,2.24906e-11,9.23659e-11,-4.58208e-10,4.68361e-10,2.14687e-09,-6.62189e-09,-3.624e-09,4.01939e-08,-1.17995e-08,-1.88594e-07,9.99056e-08,8.0824e-07,-2.43864e-07,-3.20271e-06,-1.00567e-06,1.03147e-05,1.30245e-05,-1.80834e-05,-6.19433e-05,-3.49311e-05,0.000117783,0.000292183,0.000226455,-0.000294973,-0.00117011,-0.0018616,-0.00153035,0.000673149,0.00533949,0.0126752,0.0225309,0.0345187,0.048144,0.0629068,0.078361,0.0941391,0.109954,0.125589,0.140889,0.155743,0.170079,0.183849,0.197027,0.209601,0.221568,0.232936,0.243714,0.253917,0.263562,0.272667,0.281249,0.289328,0.296921,0.304046,0.31072,0.316959,0.322779,0.328193
-1.14828e-15,2.914e-13,-1.84787e-12,6.23341e-12,-8.63716e-12,-2.39843e-11,1.46459e-10,-2.13939e-10,-5.31213e-10,2.39034e-09,-5.23004e-10,-1.28424e-08,1.51368e-08,5.34908e-08,-9.54918e-08,-2.16268e-07,4.0422e-07,9.39168e-07,-1.17506e-06,-4.03772e-06,1.09428e-06,1.41886e-05,1.13688e-05,-2.89863e-05,-7.12791e-05,-2.43946e-05,0.000151233,0.000324092,0.000220509,-0.000357431,-0.00127484,-0.00197183,-0.00161017,0.00064178,0.00535443,0.012722,0.0225926,0.0345821,0.048201,0.062954,0.0783981,0.094167,0.109974,0.125603,0.140898,0.155749,0.170082,0.183851,0.197027,0.2096,0.221567,0.232934,0.243712,0.253915,0.26356,0.272665,0.281247,0.289326,0.296919,0.304044,0.310718,0.316957,0.322777
