0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30342e-19,1.60016e-10,1.25533e-07,3.51316e-06,2.5916e-05,9.81521e-05,0.000253966,0.000517892,0.000901068,0.00140285,0.00201446,0.00272254,0.00351183,0.00436691,0.00527322,0.00621765,0.00718869,0.00817645,0.00917258,0.0101701,0.0111634,0.0121476,0.0131191,0.0140748,0.0150124,0.01593,0.0168262,0.0177001,0.0185509,0.0193781,0.0201816,0.0209611,0.0217168,0.0224488,0.0231574,0.0238427,0.0245052,0.0251453,0.0257633,0.0263597,0.026935,0.0274896,0.0280239,0.0285384,0.0290336,0.02951,0.0299678,0.0304076,0.0308298,0.0312348,0.031623,0.0319947,0.0323502,0.0326901,0.0330144,0.0333237,0.0336182,0.0338981,0.0341637,0.0344154,0.0346533,0.0348776,0.0350887,0.0352866,0.0354716,0.0356439,0.0358036,0.0359508,0.0360858,0.0362086,0.0363194,0.0364182,0.0365052,0.0365804,0.036644,0.0366959,0.0367362,0.0367649,0.0367822
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06464e-20,1.0001e-11,7.72581e-09,1.25962e-07,-5.92523e-07,-2.29213e-06,6.64704e-06,1.60092e-05,-6.29313e-06,-5.76137e-05,-9.51972e-05,-6.64533e-05,6.88176e-05,0.000331961,0.000727859,0.00125,0.00188522,0.00261731,0.0034293,0.00430493,0.00522929,0.00618924,0.00717339,0.00817211,0.00917728,0.0101822,0.0111814,0.0121704,0.0131457,0.0141043,0.0150441,0.0159633,0.0168607,0.0177354,0.0185866,0.019414,0.0202175,0.0209969,0.0217522,0.0224838,0.0231918,0.0238766,0.0245385,0.0251779,0.0257952,0.026391,0.0269656,0.0275195,0.0280531,0.028567,0.0290615,0.0295372,0.0299944,0.0304337,0.0308553,0.0312597,0.0316473,0.0320185,0.0323735,0.0327129,0.0330368,0.0333456,0.0336397,0.0339192,0.0341845,0.0344358,0.0346733,0.0348974,0.0351081,0.0353058,0.0354906,0.0356626,0.0358221,0.0359691,0.0361039,0.0362266,0.0363372,0.0364359,0.0365228,0.0365979,0.0366613,0.0367132,0.0367535
0,0,0,0,0,0,0,0,0,0,0,0,0,1.2904e-21,6.25061e-13,4.75363e-10,2.11205e-09,-1.05497e-07,6.74159e-07,-6.7636e-07,-7.08344e-06,2.25058e-05,-1.3214e-06,-5.83903e-05,-3.67648e-06,8.9884e-05,9.57665e-05,-4.59668e-06,-0.00014834,-0.000255492,-0.000264096,-0.000138716,0.000133363,0.000549143,0.00109629,0.00175786,0.00251536,0.00335064,0.00424689,0.00518909,0.00616421,0.00716109,0.00817036,0.0091842,0.0101962,0.0112011,0.0121946,0.0131733,0.0141347,0.0150765,0.0159973,0.0168957,0.017771,0.0186227,0.0194502,0.0202536,0.0210327,0.0217878,0.0225189,0.0232264,0.0239105,0.0245718,0.0252105,0.0258272,0.0264223,0.0269962,0.0275493,0.0280823,0.0285955,0.0290894,0.0295644,0.030021,0.0304596,0.0308807,0.0312845,0.0316716,0.0320422,0.0323968,0.0327357,0.0330591,0.0333675,0.0336611,0.0339403,0.0342052,0.0344561,0.0346934,0.0349171,0.0351276,0.035325,0.0355095,0.0356813,0.0358405,0.0359874,0.036122,0.0362445,0.036355,0.0364535,0.0365403,0.0366153,0.0366787
0,0,0,0,0,0,0,0,0,8.065e-23,3.90663e-14,2.92414e-11,-2.22409e-10,-6.5775e-09,1.25181e-07,-9.15795e-07,3.06264e-06,-6.48177e-07,-3.28902e-05,0.000117688,-0.000148671,-6.58372e-05,0.000313609,-3.95385e-05,-0.000307941,-0.000111613,0.000190312,0.00030514,0.000194649,-4.46465e-05,-0.000293892,-0.000461449,-0.000492759,-0.00036427,-7.37813e-05,0.000368047,0.000943875,0.00163374,0.00241752,0.0032763,0.00419301,0.00515271,0.00614258,0.00715175,0.00817115,0.00919328,0.010212,0.0112222,0.01222,0.0132021,0.014166,0.0151097,0.0160318,0.0169312,0.0178071,0.0186591,0.0194867,0.0202899,0.0210688,0.0218234,0.0225541,0.023261,0.0239445,0.0246051,0.0252432,0.0258592,0.0264535,0.0270267,0.0275792,0.0281115,0.028624,0.0291172,0.0295916,0.0300476,0.0304856,0.030906,0.0313093,0.0316958,0.032066,0.03242,0.0327584,0.0330814,0.0333894,0.0336826,0.0339613,0.0342259,0.0344765,0.0347134,0.0349368,0.035147,0.0353441,0.0355284,0.0356999,0.035859,0.0360056,0.0361401,0.0362624,0.0363727,0.0364712,0.0365578
0,0,0,0,0,5.04062e-24,2.44164e-15,1.79829e-12,-3.56998e-11,-1.45861e-10,1.18091e-08,-1.71672e-07,1.34402e-06,-6.30657e-06,1.55823e-05,4.52648e-06,-0.000188682,0.000723312,-0.00139368,0.00113944,0.000760595,-0.00235963,0.000910837,0.00137808,-0.000379947,-0.000968577,-0.000424184,0.000271786,0.000610176,0.000547164,0.000232479,-0.000161034,-0.000501824,-0.000709733,-0.000746466,-0.000602413,-0.000285411,0.000187324,0.000794488,0.00151391,0.00232438,0.00320657,0.00414342,0.00512017,0.00612431,0.00714531,0.00817442,0.00920444,0.0102295,0.0112448,0.0122466,0.0132318,0.0141981,0.0151436,0.0160669,0.0169672,0.0178436,0.0186957,0.0195234,0.0203264,0.021105,0.0218592,0.0225893,0.0232956,0.0239786,0.0246385,0.0252759,0.0258912,0.0264848,0.0270573,0.0276091,0.0281407,0.0286525,0.0291451,0.0296188,0.0300741,0.0305115,0.0309314,0.0313341,0.0317201,0.0320897,0.0324432,0.0327811,0.0331037,0.0334112,0.033704,0.0339824,0.0342465,0.0344968,0.0347334,0.0349565,0.0351664,0.0353632,0.0355472,0.0357185,0.0358774,0.0360238,0.0361581,0.0362803,0.0363904
0,3.15039e-25,1.52603e-16,1.10562e-13,-3.57171e-12,2.37113e-11,7.14851e-10,-1.98286e-08,2.53415e-07,-2.06202e-06,1.14585e-05,-4.26297e-05,8.6776e-05,6.48884e-05,-0.00121806,0.00485418,-0.0113483,0.0161968,-0.0103531,-0.00792632,0.0217948,-0.0132183,-0.00527332,0.00660735,0.00301709,-0.00154634,-0.00231848,-0.00108052,0.000269689,0.000989307,0.00105589,0.000698933,0.000164856,-0.000361751,-0.000766799,-0.000992219,-0.00101809,-0.000847891,-0.000497983,9.22578e-06,0.000649493,0.00139915,0.00223635,0.00314165,0.00409817,0.00509146,0.00610936,0.00714169,0.00818008,0.00921762,0.0102487,0.0112688,0.0122744,0.0132625,0.014231,0.0151781,0.0161026,0.0170036,0.0178804,0.0187327,0.0195603,0.0203631,0.0211413,0.0218951,0.0226246,0.0233304,0.0240127,0.0246719,0.0253086,0.0259232,0.0265161,0.0270878,0.0276389,0.0281698,0.0286809,0.0291728,0.0296459,0.0301006,0.0305374,0.0309567,0.0313588,0.0317443,0.0321133,0.0324664,0.0328038,0.0331259,0.033433,0.0337254,0.0340034,0.0342672,0.0345171,0.0347533,0.0349761,0.0351857,0.0353823,0.035566,0.0357371,0.0358958,0.036042,0.0361761
-3.05638e-13,4.53285e-12,1.40947e-11,-1.67073e-09,3.29443e-08,-3.90564e-07,3.2554e-06,-2.00284e-05,9.12696e-05,-0.000292685,0.000513833,0.000634379,-0.00845955,0.0344568,-0.0900273,0.163109,-0.194414,0.107957,0.0842315,-0.227486,0.176995,-0.0113825,-0.0600983,0.0095368,0.0187141,0.00403425,-0.00420961,-0.00469985,-0.00226279,9.37623e-05,0.00140742,0.00171774,0.00136899,0.000706365,-1.57098e-05,-0.000638554,-0.00107784,-0.0012996,-0.00130086,-0.00109616,-0.00070861,-0.000164493,0.000509904,0.00128999,0.00215368,0.00308164,0.00405727,0.00506653,0.00609764,0.00714083,0.00818806,0.00923274,0.0102695,0.0112942,0.0123033,0.0132941,0.0142646,0.0152132,0.0161387,0.0170404,0.0179175,0.0187699,0.0195974,0.0204,0.0211778,0.021931,0.02266,0.0233652,0.0240468,0.0247053,0.0253413,0.0259551,0.0265473,0.0271184,0.0276687,0.0281989,0.0287094,0.0292006,0.029673,0.0301271,0.0305633,0.030982,0.0313835,0.0317684,0.032137,0.0324895,0.0328265,0.0331481,0.0334548,0.0337468,0.0340243,0.0342878,0.0345373,0.0347732,0.0349957,0.035205,0.0354013,0.0355848,0.0357557,0.0359141
3.32749e-09,-5.48294e-08,6.18922e-07,-5.24232e-06,3.45158e-05,-0.000178292,0.000711336,-0.002051,0.00316736,0.00568915,-0.0617011,0.25432,-0.713735,1.48517,-2.2886,2.425,-1.24697,-0.923254,2.56409,-2.33911,0.764056,0.366443,-0.308749,-0.0615613,0.0566851,0.0346792,0.00279356,-0.00915089,-0.00854099,-0.00421064,-0.000380093,0.00181123,0.00252109,0.00225405,0.00148638,0.000563772,-0.000296895,-0.000976744,-0.00142285,-0.00162317,-0.00158897,-0.00134353,-0.000915038,-0.000332518,0.000376444,0.00118681,0.00207653,0.00302655,0.00402068,0.00504531,0.00608908,0.00714264,0.00819827,0.00924973,0.0102919,0.0113209,0.0123333,0.0133266,0.014299,0.0152489,0.0161754,0.0170775,0.017955,0.0188074,0.0196347,0.020437,0.0212144,0.0219671,0.0226955,0.0234,0.0240809,0.0247388,0.025374,0.0259871,0.0265786,0.0271489,0.0276985,0.028228,0.0287378,0.0292283,0.0297001,0.0301535,0.0305891,0.0310072,0.0314082,0.0317925,0.0321606,0.0325126,0.0328491,0.0331703,0.0334765,0.0337681,0.0340453,0.0343083,0.0345575,0.0347931,0.0350153,0.0352243,0.0354204,0.0356036
8.56478e-06,-5.91782e-05,0.000333187,-0.00152295,0.00551518,-0.0146462,0.020012,0.0496088,-0.465956,1.93174,-5.69479,12.9857,-23.2589,32.0286,-31.3106,15.5084,10.3751,-30.4262,31.0542,-15.5347,0.40223,3.69106,-0.982027,-0.579904,0.0686415,0.131965,0.0502193,-0.00248734,-0.0173006,-0.0143878,-0.00723898,-0.00132013,0.0021233,0.00344245,0.00336093,0.00252732,0.00140592,0.000289071,-0.000659145,-0.00136063,-0.00179069,-0.00195552,-0.00187772,-0.00158711,-0.00111557,-0.000493902,0.000249606,0.00108982,0.00200495,0.00297635,0.00398831,0.00502768,0.00608358,0.007147,0.00821065,0.00926849,0.0103158,0.0113487,0.0123642,0.0133599,0.0143341,0.0152852,0.0162125,0.0171151,0.0179927,0.0188451,0.0196722,0.0204741,0.0212511,0.0220032,0.022731,0.0234348,0.0241151,0.0247722,0.0254067,0.0260191,0.0266098,0.0271794,0.0277283,0.0282571,0.0287662,0.029256,0.0297271,0.0301799,0.0306149,0.0310324,0.0314328,0.0318166,0.0321841,0.0325357,0.0328717,0.0331924,0.0334982,0.0337894,0.0340662,0.0343289,0.0345777,0.034813,0.0350348,0.0352436
0.00305423,-0.0127403,0.0428158,-0.106277,0.127994,0.428403,-3.61088,14.9987,-45.811,111.492,-220.96,355.286,-450.598,416.149,-203.415,-118.471,374.385,-416.149,260.599,-68.2017,-25.7535,23.3143,-0.921334,-2.99153,-0.372994,0.332776,0.222974,0.0609746,-0.0137752,-0.0298079,-0.0229421,-0.0117599,-0.00295181,0.00223446,0.00444229,0.00468952,0.00385018,0.00254131,0.00115306,-9.18484e-05,-0.00108228,-0.00177594,-0.00217194,-0.00229066,-0.00216338,-0.00182477,-0.00130893,-0.000648028,0.000129723,0.000999069,0.00193899,0.00293086,0.00396023,0.00501338,0.00608121,0.00715367,0.00822521,0.00928889,0.0103412,0.0113777,0.0123962,0.013394,0.0143699,0.0153219,0.0162501,0.0171529,0.0180309,0.0188829,0.0197101,0.0205113,0.021288,0.0220393,0.0227668,0.0234696,0.0241495,0.0248054,0.0254397,0.0260508,0.0266412,0.0272096,0.0277583,0.0282859,0.0287947,0.0292835,0.0297542,0.0302063,0.0306406,0.0310576,0.0314574,0.0318407,0.0322076,0.0325588,0.0328942,0.0332146,0.0335198,0.0338108,0.0340869,0.0343495,0.0345978,0.0348329
