0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0.101701,0.0953186,0.0889325,0.0825593,0.0762177,0.0699285,0.0637151,0.0576034,0.0516221,0.0458027,0.0401794,0.034789,0.0296703,0.0248637,0.0204103,0.0163499,0.0127197,0.00955132,0.00686738,0.00467783,0.00297552,0.0017324,0.000897083,0.000395924,0.000139401,3.51316e-05,5.2351e-06,3.18321e-07,3.45286e-09,6.70973e-13,1.50023e-22,2.07825e-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108083,0.101708,0.0953135,0.088914,0.0825258,0.0761674,0.0698594,0.0636251,0.0574905,0.0514842,0.0456378,0.0399857,0.0345651,0.0294155,0.0245782,0.0200955,0.0160093,0.0123588,0.00917875,0.00649492,0.0043206,0.00265125,0.0014594,0.00069051,0.000262264,7.1273e-05,1.13024e-05,7.11043e-07,7.76794e-09,1.50969e-12,3.37551e-22,4.67606e-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.114454,0.108101,0.101716,0.0953097,0.0888969,0.0824938,0.0761186,0.0697918,0.0635368,0.0573792,0.0513477,0.0454741,0.0397928,0.0343414,0.02916,0.0242907,0.0197772,0.015663,0.0119899,0.00879549,0.00610933,0.00394884,0.00231345,0.00117807,0.000486009,0.000143588,2.43657e-05,1.58819e-06,1.74756e-08,3.3968e-12,7.59489e-22,1.05211e-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120798,0.114482,0.10812,0.101725,0.095307,0.0888812,0.0824632,0.0760713,0.0697259,0.06345,0.0572695,0.0512128,0.0453117,0.0396009,0.0341182,0.0289041,0.0240017,0.0194558,0.0153115,0.0116131,0.00840109,0.00570922,0.00355967,0.00195754,0.000884229,0.000286922,5.24449e-05,3.54723e-06,3.9315e-08,7.6428e-12,1.70885e-21,2.36725e-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.127102,0.120834,0.114511,0.108141,0.101735,0.0953056,0.0888667,0.0824341,0.0760256,0.0696616,0.063365,0.0571615,0.0510795,0.0451508,0.0394101,0.0338956,0.0286481,0.0237115,0.0191315,0.0149551,0.0112285,0.00799562,0.00529401,0.00314985,0.00157224,0.000567795,0.00011269,7.92229e-06,8.84473e-08,1.71963e-11,3.84492e-21,5.32632e-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133357,0.127146,0.120872,0.11454,0.108162,0.101746,0.0953055,0.0888537,0.0824064,0.0759814,0.069599,0.0632817,0.0570552,0.050948,0.0449915,0.0392207,0.0336739,0.0283923,0.0234204,0.018805,0.0145943,0.0108366,0.0075798,0.00487075,0.00271403,0.00111048,0.000241691,1.76925e-05,1.98981e-07,3.86917e-11,8.65106e-21,1.19842e-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.139551,0.133407,0.127191,0.12091,0.114571,0.108184,0.101758,0.0953065,0.088842,0.0823802,0.0759389,0.069538,0.0632002,0.0569508,0.0508182,0.0448339,0.0390329,0.0334533,0.0281371,0.0231289,0.0184772,0.0142304,0.0104269,0.00716577,0.00450126,0.00214048,0.000517316,3.95096e-05,4.47648e-07,8.70562e-11,1.94649e-20,2.69645e-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.145677,0.139607,0.133458,0.127236,0.120949,0.114603,0.108207,0.101772,0.0953089,0.0888316,0.0823555,0.0758979,0.0694788,0.0631205,0.0568483,0.0506904,0.0446782,0.0388467,0.0332343,0.0278819,0.0228349,0.0181694,0.0138372,0.00990621,0.00704645,0.00404998,0.00110481,8.82252e-05,1.00708e-06,1.95877e-10,4.3796e-20,6.06701e-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151729,0.145737,0.139663,0.133509,0.127282,0.120989,0.114635,0.108231,0.101786,0.0953124,0.0888226,0.0823323,0.0758586,0.0694213,0.0630427,0.0567477,0.0505645,0.044524,0.038663,0.0330244,0.0275837,0.0226018,0.0180361,0.0127318,0.0100557,0.00747729,0.00235373,0.000196996,2.26563e-06,4.40722e-10,9.8541e-20,1.36508e-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.157699,0.151792,0.145798,0.139719,0.133561,0.127329,0.121029,0.114669,0.108256,0.101802,0.0953172,0.088815,0.0823105,0.0758209,0.0693656,0.0629666,0.0566499,0.0504407,0.044351,0.0385798,0.0326697,0.0269828,0.0239975,0.0154322,0.0119979,0.0133426,0.00500097,0.000439843,5.09701e-06,9.91625e-10,2.21717e-19,3.07142e-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
