0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.03125,0.5625,3.375,-5.0625,7.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999023,1.02832,0.632812,3.79688,-12.8145,46.9863,-102.516,153.773,-134.552,57.665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00003,0.998657,1.0275,0.652588,4.02676,-18.2428,93.105,-336.379,952.074,-2054.32,3357.19,-4022.14,3357.19,-1751.58,437.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1.00006,0.998425,1.02778,0.653515,4.24646,-22.7006,138.982,-649.22,2503.59,-7900.67,20474.6,-43369.7,74496.7,-102303,109857,-89043,51356.7,-18843.1,3325.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998,1.00008,0.998228,1.02876,0.643999,4.49165,-26.8393,184.644,-1013.76,4738.59,-18793.8,63569.5,-183520,451853,-945969,1.67495e+06,-2.48768e+06,3.06249e+06,-3.07191e+06,2.44905e+06,-1.4945e+06,656530,-185175,25251.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999996,1.0001,0.998031,1.03028,0.627148,4.77367,-30.9901,231.277,-1421.01,7591.46,-35217.8,142605,-505178,1.56773e+06,-4.26232e+06,1.01413e+07,-2.10666e+07,3.80642e+07,-5.95016e+07,7.98781e+07,-9.11788e+07,8.73154e+07,-6.8867e+07,4.35843e+07,-2.12915e+07,7.54221e+06,-1.72576e+06,191751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999995,1.00012,0.997823,1.03226,0.604244,5.09841,-35.3491,280.142,-1870.93,11035.5,-57467.9,265477,-1.09089e+06,3.99549e+06,-1.30588e+07,3.81041e+07,-9.92281e+07,2.30369e+08,-4.75911e+08,8.72442e+08,-1.4139e+09,2.01561e+09,-2.51134e+09,2.71206e+09,-2.51134e+09,1.96586e+09,-1.27625e+09,6.69019e+08,-2.72239e+08,8.07332e+07,-1.55318e+07,1.45611e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999994,1.00014,0.997594,1.03468,0.575772,5.47076,-40.0526,332.412,-2367.95,15080.6,-85871.6,439079,-2.02163e+06,8.40019e+06,-3.15501e+07,1.07225e+08,-3.29916e+08,9.19057e+08,-2.31692e+09,5.28059e+09,-1.08641e+10,2.01337e+10,-3.35164e+10,4.99393e+10,-6.63025e+10,7.79977e+10,-8.07326e+10,7.28774e+10,-5.6731e+10,3.75296e+10,-2.06902e+10,9.25144e+09,-3.22424e+09,8.21928e+08,-1.36374e+08,1.10573e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999992,1.00016,0.99734,1.03754,0.541794,5.8958,-45.2106,389.194,-2918.96,19765.6,-120878,670244,-3.37844e+06,1.55154e+07,-6.50321e+07,2.49103e+08,-8.72809e+08,2.7989e+09,-8.21623e+09,2.20754e+10,-5.42595e+10,1.21898e+11,-2.4999e+11,4.67222e+11,-7.94082e+11,1.22401e+12,-1.70548e+12,2.13947e+12,-2.40456e+12,2.40676e+12,-2.12962e+12,1.6507e+12,-1.10792e+12,6.34367e+11,-3.03785e+11,1.18384e+11,-3.60683e+10,8.0608e+09,-1.17553e+09,8.39666e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
